mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-let-7a-2-3p,1.0,1.0,1.0,0,1,0.0,539,26380,0.020432145564821834,0.0
hsa-let-7a-3p,1.0,1.0,1.0,0,1,0.0,1698,26380,0.0643669446550417,0.0
hsa-let-7a-5p,1.0,1.0,1.0,0,1,0.0,11888,26380,0.4506444275966641,0.0
hsa-let-7b-3p,1.0,1.0,1.0,0,1,0.0,2095,26380,0.07941622441243366,0.0
hsa-let-7b-5p,1.0,1.0,1.0,0,1,0.0,11593,26380,0.439461713419257,0.0
hsa-let-7c-3p,1.0,1.0,1.0,0,1,0.0,203,26380,0.0076952236542835485,0.0
hsa-let-7c-5p,1.0,1.0,1.0,0,1,0.0,10432,26380,0.3954510993176649,0.0
hsa-let-7d-3p,1.0,1.0,1.0,0,1,0.0,796,26380,0.030174374526156178,0.0
hsa-let-7d-5p,1.0,1.0,1.0,0,1,0.0,10904,26380,0.4133434420015163,0.0
hsa-let-7e-3p,1.0,1.0,1.0,0,1,0.0,561,26380,0.021266110689916604,0.0
hsa-let-7e-5p,1.0,1.0,1.0,0,1,0.0,10725,26380,0.4065579984836998,0.0
hsa-let-7f-1-3p,1.0,1.0,1.0,0,1,0.0,856,26380,0.03244882486732373,0.0
hsa-let-7f-2-3p,1.0,1.0,1.0,0,1,0.0,2927,26380,0.11095526914329037,0.0
hsa-let-7f-5p,1.0,1.0,1.0,0,1,0.0,9828,26380,0.3725549658832449,0.0
hsa-let-7g-3p,1.0,1.0,1.0,0,1,0.0,2470,26380,0.09363153904473086,0.0
hsa-let-7g-5p,1.0,1.0,1.0,0,1,0.0,10632,26380,0.4030326004548901,0.0
hsa-let-7i-3p,1.0,1.0,1.0,0,1,0.0,2041,26380,0.07736921910538287,0.0
hsa-let-7i-5p,1.0,1.0,1.0,0,1,0.0,10962,26380,0.4155420773313116,0.0
hsa-miR-1-3p,1.0,1.0,1.0,0,1,0.0,6503,26380,0.24651250947687642,0.0
hsa-miR-100-3p,1.0,1.0,1.0,0,1,0.0,841,26380,0.03188021228203184,0.0
