NCBI_GeneID,Symbol,Description,Gene_Type,Transcripts,Transcript_Accession,Nomenclature ID,Nomenclature ID2,Chromosomes,Transcript_Genomic_Accession,Transcript_Genomic_Start,Transcript_Genomic_Stop,Orientation,Proteins,Protein_Accession,Synonyms
LOC10178776,asRNA:CR42738,antisense RNA:CR42738,ncRNA,2.0,NR_037756.1,FBgn0261702,Dmel_CR42738,3R,NT_033777.3,7143487,7144295,plus,-,-,"CR42738,Dmel\CR42738"
LOC10178777,CG42835,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202316.2,FBgn0262024,Dmel_CG42835,3R,NT_033777.3,17420638,17420989,plus,1.0,NP_001189245.1,Dmel\CG42835
LOC10178779,CR40354,pseudo,PSEUDO,-,-,FBgn0058354,Dmel_CR40354,3L,NT_037436.4,25201942,25203341,plus,-,-,"CG40354,Dmel\CR40354"
LOC10178780,CR33929,pseudo,PSEUDO,-,-,FBgn0053929,Dmel_CR33929,3R,NT_033777.3,12893972,12894529,minus,-,-,"CG33929,Dmel\CR33929"
LOC10178781,CG42867,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202054.2,FBgn0262141,Dmel_CG42867,2R,NT_033778.4,22665646,22666145,plus,1.0,NP_001188983.1,Dmel\CG42867
LOC10178782,CG31808,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201893.2,FBgn0062978,Dmel_CG31808,2L,NT_033779.5,16704286,16716195,minus,1.0,NP_001188822.1,"BcDNA:RE70695,CR31808,Dmel\CG31808,MRE33,RE70695"
LOC10178783,CR41243,pseudo,PSEUDO,-,-,FBgn0085570,Dmel_CR41243,2R,NT_033778.4,3334854,3336160,plus,-,-,"CG41243,Dmel\CR41243"
LOC10178784,CG42716,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202187.2,FBgn0261633,Dmel_CG42716,3L,NT_037436.4,16033778,16034170,plus,1.0,NP_001189116.1,Dmel\CG42716
LOC10178785,CG42832,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202158.2,FBgn0262021,Dmel_CG42832,3L,NT_037436.4,11610135,11610386,plus,1.0,NP_001189087.1,Dmel\CG42832
LOC10178786,Su(Ste):CR40820,Suppressor of Stellate:CR40820,ncRNA,1.0,NR_048531.2,FBgn0085523,Dmel_CR40820,Y,NC_024512.1,953256,954313,minus,-,-,"CG40820,CR40820,Dmel\CR40820"
LOC10178787,CG42852,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202191.2,FBgn0262099,Dmel_CG42852,3L,NT_037436.4,16755489,16755720,plus,1.0,NP_001189120.1,"Dmel\CG42852,lincRNA.585"
LOC10178788,CR42723,pseudo,PSEUDO,-,-,FBgn0261640,Dmel_CR42723,3L,NT_037436.4,24549636,24550445,plus,-,-,Dmel\CR42723
LOC10178789,lncRNA:Yu,long non-coding RNA:Yu,ncRNA,1.0,NR_037745.2,FBgn0061188,Dmel_CR42645,2R,NT_033778.4,24498083,24498669,plus,-,-,"CR42645,Dmel\CR42645,yu,Yu"
LOC10178791,Ir60c,Ionotropic receptor 60c,PSEUDO,-,-,FBgn0259186,Dmel_CR42290,2R,NT_033778.4,24517824,24519152,plus,-,-,"60c,CG13582,CG42290,CR42290,DmelIR60c,Dmel\CR42290,IR60c"
LOC10178792,CG42694,uncharacterized protein,PROTEIN_CODING,2.0,NM_001274218.2,FBgn0261584,Dmel_CG42694,2R,NT_033778.4,22941877,22945147,plus,2.0,NP_001261147.1,"Dmel\CG42694,SPH247"
LOC10178793,CG42789,uncharacterized protein,PROTEIN_CODING,2.0,NM_001276063.1,FBgn0261860,Dmel_CG42789,3R,NT_033777.3,26783609,26784208,minus,2.0,NP_001262992.2,"Dmel\CG42789,DMG8-chr3R.40.015,DMG8-chr3R.40.015-MIP08885,lincRNA.863"
LOC10178795,CG42762,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201787.2,FBgn0261830,Dmel_CG42762,2L,NT_033779.5,8143401,8144047,minus,1.0,NP_001188716.1,Dmel\CG42762
LOC10178796,CG42780,uncharacterized protein,PROTEIN_CODING,2.0,NM_001298050.1,FBgn0261848,Dmel_CG42780,X,NC_004354.4,7331265,7332191,minus,2.0,NP_001284979.1,Dmel\CG42780
LOC10178797,pre-mod(mdg4)-X,pre-mod(mdg4)-X,PROTEIN_CODING,2.0,NM_001202328.2,FBgn0261840,Dmel_CG42772,3R,NT_033777.3,21365609,21369330,plus,2.0,NP_001189257.2,"CG42772,Dmel\CG42772,RX"
LOC10178798,asRNA:CR42743,antisense RNA:CR42743,ncRNA,2.0,NR_037733.2,FBgn0261707,Dmel_CR42743,2L,NT_033779.5,11531966,11534547,minus,-,-,"CR42743,Dmel\CR42743"
LOC10178799,CR40068,pseudo,PSEUDO,-,-,FBgn0058068,Dmel_CR40068,2R,NT_033778.4,1618172,1618585,plus,-,-,"CG40068,Dmel\CR40068"
LOC10178800,hpRNA:CR18854,hairpin RNA:CR18854,ncRNA,3.0,NR_156764.1,FBgn0285991,Dmel_CR18854,2L,NT_033779.5,9787294,9790745,minus,-,-,"CG13122,CG18854,CR18854,Dmel\CR18854,esi-1,esi-1.1,esi-1.2,esiRNA-sl-1,hp-CG18854,hp-CG18854A,lncRNA-CR18854"
LOC10178801,hpRNA:CR32207,hairpin RNA:CR32207,ncRNA,1.0,NR_156767.1,FBgn0052207,Dmel_CR32207,3L,NT_037436.4,19477329,19478720,minus,-,-,"BcDNA:LD41276,CG32207,CR32207,Dmel\CR32207,esi-4.1,hp-CR32207"
LOC10178803,lncRNA:CR30055,long non-coding RNA:CR30055,ncRNA,3.0,NR_037740.2,FBgn0050055,Dmel_CR30055,2R,NT_033778.4,12589239,12591395,plus,-,-,"BcDNA:GM14547,CG30055,CR30055,Dmel\CR30055"
LOC10178805,CG42654,uncharacterized protein,PROTEIN_CODING,2.0,NM_001202205.2,FBgn0261506,Dmel_CG42654,3L,NT_037436.4,19953794,19954526,minus,2.0,NP_001189134.2,Dmel\CG42654
LOC10178806,CG42656,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202263.1,FBgn0261508,Dmel_CG42656,3R,NT_033777.3,7492961,7493271,minus,1.0,NP_001189192.1,"Dmel\CG42656,DMG8-chr3R.6.013"
LOC10178807,asRNA:CR31514,antisense RNA:CR31514,ncRNA,1.0,NR_037757.1,FBgn0051514,Dmel_CR31514,3R,NT_033777.3,9779519,9782693,minus,-,-,"BcDNA:RE21847,CR31514,Dmel\CR31514"
LOC10178808,snoRNA:Or-CD9b,ncRNA,ncRNA,1.0,NR_037744.1,FBgn0261974,Dmel_CR42805,2R,NT_033778.4,24186062,24186152,plus,-,-,"CR34101,CR34567,CR42805,Dmel\CR42805,DmOrC/D_9b,DmOr_cd9b snoRNA,Dmsnm60b,orphan CD9b,snm60,Snm60b,snmRNA:60Cb,snoRNA:Or-cd9b"
LOC10178809,CG42854,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201732.2,FBgn0262101,Dmel_CG42854,X,NC_004354.4,17245353,17247016,minus,1.0,NP_001188661.1,Dmel\CG42854
LOC10178810,CR16735,pseudo,PSEUDO,-,-,FBgn0037666,Dmel_CR16735,3R,NT_033777.3,9253545,9254683,plus,-,-,"CG16735,Dmel\CR16735"
LOC10178812,CG42815,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202198.2,FBgn0261997,Dmel_CG42815,3L,NT_037436.4,17791079,17791486,minus,1.0,NP_001189127.1,"CG32186,CG5587,CG5944,Dmel\CG42815"
LOC10178813,lncRNA:CR42858,long non-coding RNA:CR42858,ncRNA,1.0,NR_037758.2,FBgn0262105,Dmel_CR42858,3R,NT_033777.3,9824085,9824864,minus,-,-,"CR42858,Dmel\CR42858"
LOC10178814,CG42806,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201993.2,FBgn0261975,Dmel_CG42806,2R,NT_033778.4,13964653,13965455,plus,1.0,NP_001188922.1,Dmel\CG42806
LOC10178816,pre-mod(mdg4)-U,pre-mod(mdg4)-U,PROTEIN_CODING,3.0,NM_001316599.1,FBgn0261845,Dmel_CG42777,3R,NT_033777.3,21365609,21370249,plus,3.0,NP_001303528.2,"CG42777,Dmel\CG42777,RU"
LOC10178817,CG42869,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202335.2,FBgn0262143,Dmel_CG42869,3R,NT_033777.3,21736513,21736849,minus,1.0,NP_001189264.2,Dmel\CG42869
LOC10178818,lncRNA:CR40947,long non-coding RNA:CR40947,ncRNA,1.0,NR_048533.1,FBgn0085540,Dmel_CR40947,Unknown,NW_001845870.1,7,354,minus,-,-,"CG40947,CR40947,Dmel\CR40947"
LOC10178819,CR12798,pseudo,PSEUDO,-,-,FBgn0039987,Dmel_CR12798,3R,NT_033777.3,1031171,1031354,plus,-,-,"CG12798,CT38386,Dmel\CR12798,SEK1/MKK4"
LOC10178820,CG42704,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201627.1,FBgn0261615,Dmel_CG42704,X,NC_004354.4,7412668,7413296,plus,1.0,NP_001188556.1,Dmel\CG42704
LOC10178822,CG42697,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202038.2,FBgn0261587,Dmel_CG42697,2R,NT_033778.4,18611645,18612730,minus,1.0,NP_001188967.1,Dmel\CG42697
LOC10178823,CG46457,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202289.3,FBgn0287587,Dmel_CG46457,3R,NT_033777.3,13528597,13529356,minus,1.0,NP_001189218.3,"Dmel\CG46457,lincRNA.767"
LOC10178824,CG42688,uncharacterized protein,PROTEIN_CODING,2.0,NM_001273635.1,FBgn0265263,Dmel_CG42688,2L,NT_033779.5,19181965,19182810,minus,2.0,NP_001260564.1,"anon-SAGE:Wang-006,Dmel\CG42688,DMG8-chr2L.34.001"
LOC10178825,CG42650,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202262.2,FBgn0261502,Dmel_CG42650,3R,NT_033777.3,7391413,7392280,plus,1.0,NP_001189191.1,"Dmel\CG42650,DMG4-MB6.chr3R.6.014"
LOC10178827,CR14033,pseudo,PSEUDO,-,-,FBgn0046776,Dmel_CR14033,2L,NT_033779.5,5242699,5244239,plus,-,-,"BcDNA:LD26231,BcDNA:LD26673,CG14033,Dmel\CR14033"
LOC10178828,CG42703,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202068.2,FBgn0261614,Dmel_CG42703,2R,NT_033778.4,23101232,23101777,minus,1.0,NP_001188997.1,Dmel\CG42703
LOC10178829,lncRNA:CR32218,long non-coding RNA:CR32218,ncRNA,1.0,NR_037751.2,FBgn0052218,Dmel_CR32218,3L,NT_037436.4,19895216,19896391,minus,-,-,"CG8037,CR32218,Dmel\CR32218"
LOC10178831,CG42846,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202085.2,FBgn0262035,Dmel_CG42846,3L,NT_037436.4,230971,231604,minus,1.0,NP_001189014.1,Dmel\CG42846
LOC10178832,pre-mod(mdg4)-W,pre-mod(mdg4)-W,PROTEIN_CODING,2.0,NM_001316598.1,FBgn0261843,Dmel_CG42775,3R,NT_033777.3,21365609,21370249,plus,2.0,NP_001303527.2,"CG42775,Dmel\CG42775,RW"
LOC10178834,lncRNA:CR42646,long non-coding RNA:CR42646,ncRNA,2.0,NR_073830.1,FBgn0261429,Dmel_CR42646,2R,NT_033778.4,5363253,5367357,plus,-,-,"CR41445,CR42646,Dmel\CR42646"
