Dmel,E_value,Score,query cover,identity,Dsim
NP_001007096.1,0.0,3168.0,100,99.41,XP_016032541.1
NP_001014453.1,0.0,2204.0,100,96.757,XP_016022969.1
NP_001014456.1,0.0,722.0,100,90.674,XP_016023046.1
NP_001014458.3,0.0,976.0,100,99.145,XP_016023074.1
NP_001014460.1,0.0,597.0,100,99.32,XP_016023114.1
NP_001014461.1,2.75e-176,488.0,100,96.0,XP_016023122.1
NP_001014488.1,2.12e-82,239.0,99,78.846,XP_016025193.1
NP_001014489.1,1.44e-134,373.0,100,93.011,XP_002079919.1
NP_001014490.1,8.4e-92,263.0,100,92.0,XP_002079920.3
NP_001014491.1,0.0,1039.0,100,93.99,XP_002079951.2
NP_001014492.2,0.0,806.0,99,94.686,XP_016025719.3
NP_001014493.2,0.0,849.0,100,94.836,XP_002080109.2
NP_001014494.1,0.0,722.0,100,93.573,XP_016025720.3
NP_001014495.1,0.0,954.0,100,99.565,XP_002080111.1
NP_001014498.1,0.0,1168.0,100,99.47,XP_039154591.1
NP_001014501.1,1.93e-140,388.0,100,98.387,XP_002080423.1
NP_001014504.1,0.0,2393.0,100,98.463,XP_016026451.1
NP_001014505.1,0.0,1019.0,100,84.252,XP_016026455.1
NP_001014513.1,0.0,1731.0,100,99.88,XP_002080649.1
NP_001014522.2,1.18e-134,373.0,97,98.37,XP_002081320.1
NP_001014525.1,0.0,1291.0,100,97.997,XP_016027407.1
NP_001014528.1,0.0,638.0,100,96.25,XP_002081560.1
NP_001014529.1,0.0,971.0,100,97.521,XP_002081561.1
NP_001014530.1,4.95e-129,363.0,86,81.221,XP_044778414.1
NP_001014531.1,2.09e-143,397.0,100,90.196,XP_002081779.1
NP_001014532.1,1.07e-66,196.0,100,84.677,XP_016028022.1
NP_001014533.1,1.58e-93,266.0,100,92.763,XP_002081819.1
NP_001014548.1,0.0,746.0,95,97.333,XP_039148047.1
NP_001014557.3,0.0,1233.0,99,97.596,XP_016030355.1
NP_001014558.1,0.0,636.0,100,98.071,XP_002083628.1
NP_001014560.1,0.0,660.0,100,100.0,XP_016030404.1
NP_001014576.1,0.0,2039.0,100,97.955,XP_039149968.1
NP_001014577.1,0.0,681.0,100,99.703,XP_002084163.1
NP_001014589.1,0.0,1911.0,100,96.477,XP_002085230.1
NP_001014590.1,0.0,1757.0,100,98.301,XP_039149504.1
NP_001014591.1,0.0,4096.0,100,99.244,XP_039150322.1
NP_001014600.1,0.0,555.0,100,98.524,XP_002085922.2
NP_001014605.1,0.0,1795.0,99,92.685,XP_002102159.2
NP_001014607.1,0.0,597.0,100,89.614,XP_002102211.1
NP_001014608.1,0.0,548.0,100,94.928,XP_039151487.1
NP_001014610.1,0.0,2111.0,99,96.456,XP_002102449.1
NP_001014611.1,0.0,641.0,88,93.143,XP_016035438.1
NP_001014612.1,1.4299999999999999e-134,372.0,100,100.0,XP_016035396.1
NP_001014616.2,0.0,647.0,100,97.214,XP_016035154.1
NP_001014632.3,0.0,1795.0,100,96.598,XP_039151427.1
NP_001014633.2,5.77e-08,49.3,15,100.0,XP_016034185.1
NP_001014636.1,0.0,1082.0,100,92.705,XP_016034185.1
NP_001014639.1,1.1100000000000001e-66,194.0,100,100.0,XP_002102917.1
NP_001014650.2,0.0,2637.0,100,99.764,XP_016036019.1
NP_001014681.2,0.0,4094.0,100,97.559,XP_016036743.1
NP_001014693.1,0.0,1776.0,100,97.33,XP_016037329.1
NP_001014695.1,0.0,1026.0,100,94.984,XP_016037363.1
NP_001014703.1,0.0,1138.0,94,90.112,XP_044779436.1
NP_001014714.1,0.0,2248.0,100,99.171,XP_016037681.1
NP_001014722.1,0.0,3709.0,100,95.371,XP_039153140.1
NP_001014730.1,2.03e-109,306.0,100,98.667,XP_002106583.1
NP_001014742.1,0.0,1892.0,99,94.433,XP_016039383.1
NP_001014746.1,1.31e-80,233.0,100,95.714,XP_016039608.1
NP_001014758.2,0.0,1776.0,99,96.792,XP_039152397.1
NP_001015101.2,0.0,1545.0,100,96.359,XP_039154274.1
NP_001015132.1,0.0,1429.0,100,97.343,XP_016033113.1
NP_001015156.1,5.74e-149,410.0,100,100.0,XP_016022750.1
NP_001015174.1,0.0,758.0,100,91.667,XP_016025968.1
NP_001015224.1,3.62e-100,282.0,100,97.183,XP_016033084.1
NP_001015241.3,0.0,1501.0,100,95.294,XP_016026096.1
NP_001015254.1,0.0,684.0,100,90.995,XP_002077166.1
NP_001015255.1,2.03e-90,256.0,100,97.638,XP_002077167.1
NP_001015257.2,0.0,1038.0,100,97.318,XP_016026105.1
NP_001015261.3,0.0,913.0,96,96.176,XP_016022801.1
NP_001015316.1,0.0,5242.0,100,96.617,XP_039154266.1
NP_001015319.1,0.0,846.0,100,93.576,XP_039154224.1
NP_001015349.2,0.0,1060.0,100,90.636,"XP_016026066.1, XP_039150588.1"
NP_001015352.3,0.0,1749.0,100,96.796,XP_039148635.1
NP_001015359.1,2.04e-46,182.0,72,25.635,XP_039149989.1
NP_001015384.1,0.0,712.0,100,97.421,XP_016025907.1
NP_001015387.1,9.09e-142,393.0,100,96.117,XP_002076482.1
NP_001015401.1,7.73e-82,239.0,84,73.288,XP_016025080.1
NP_001015402.3,1.0399999999999998e-23,86.7,89,54.688,XP_016039272.3
NP_001015405.3,0.0,4830.0,100,96.909,XP_016022793.1
NP_001015473.1,0.0,961.0,100,99.145,XP_039154232.1
NP_001015476.1,4.28e-63,185.0,100,93.617,XP_016025917.2
NP_001015497.4,7.17e-177,491.0,95,74.916,XP_002104734.2
NP_001015498.5,4.78e-143,446.0,89,34.248,XP_002105132.2
NP_001015499.4,0.0,4559.0,99,60.895,XP_016033760.1
NP_001015502.3,0.0,684.0,95,62.268,XP_002078836.2
NP_001015505.5,0.0,2037.0,72,35.105,XP_039154512.1
NP_001027041.1,0.0,602.0,100,97.643,XP_002106297.1
NP_001027051.1,0.0,1348.0,100,94.613,XP_039153492.1
NP_001027069.3,0.0,551.0,100,95.341,XP_016039755.1
NP_001027074.1,2.42e-84,240.0,100,99.145,XP_016040055.1
NP_001027083.1,6.230000000000001e-64,187.0,100,100.0,XP_016040259.1
NP_001027086.1,3.51e-175,480.0,100,95.885,XP_039153796.1
NP_001027088.1,0.0,1512.0,100,96.099,XP_016040272.1
NP_001027089.1,0.0,1395.0,100,96.839,XP_044779592.1
NP_001027091.1,2.07e-65,192.0,90,91.262,XP_016029656.1
NP_001027094.1,0.0,671.0,100,98.494,XP_016029785.1
NP_001027095.1,0.0,1006.0,100,97.881,XP_016029784.1
NP_001027098.1,0.0,886.0,100,86.465,XP_002076493.2
NP_001027100.1,0.0,2468.0,100,95.788,XP_016029861.1
NP_001027105.2,0.0,712.0,85,97.167,XP_002083560.1
NP_001027106.1,0.0,923.0,100,98.261,XP_016030319.3
NP_001027107.1,4.31e-112,315.0,100,83.889,XP_016030381.1
NP_001027108.1,1.02e-101,290.0,90,89.677,XP_039149212.2
NP_001027109.2,9.97e-126,350.0,95,97.11,XP_016030570.1
NP_001027115.1,2.9199999999999998e-126,351.0,99,98.837,XP_039149416.1
NP_001027116.1,4.62e-78,225.0,100,97.297,XP_016031169.1
NP_001027119.1,4.4800000000000004e-125,348.0,100,90.608,XP_002084281.1
NP_001027120.1,1.2e-125,350.0,100,92.737,XP_002084282.1
NP_001027121.3,2.21e-129,359.0,100,97.714,XP_016031216.1
NP_001027122.2,0.0,981.0,100,97.708,XP_002084301.1
NP_001027125.1,5.580000000000001e-125,348.0,100,93.923,XP_002084656.1
NP_001027126.1,1.53e-09,45.8,100,89.744,XP_044779064.1
NP_001027128.1,6.95e-119,333.0,100,87.709,XP_002085064.1
NP_001027129.2,1.42e-119,334.0,100,87.079,XP_039150090.1
NP_001027130.2,1.31e-113,319.0,100,88.636,XP_044779027.1
NP_001027131.1,9.11e-108,304.0,100,82.386,XP_044778808.1
NP_001027132.2,7.26e-127,353.0,100,94.944,XP_044779016.1
NP_001027134.1,1.18e-141,392.0,100,89.604,XP_002085302.1
NP_001027136.1,3.2300000000000003e-116,327.0,100,83.158,XP_002085456.1
NP_001027137.1,5.43e-108,304.0,100,88.889,XP_016032580.1
NP_001027138.2,0.0,9535.0,100,98.744,XP_016032598.1
NP_001027139.1,9.1e-103,291.0,100,82.778,XP_002085692.1
NP_001027140.1,2.41e-124,346.0,100,94.382,XP_002085915.1
NP_001027141.1,3.64e-135,374.0,100,94.681,XP_016032970.1
NP_001027142.2,4.01e-123,343.0,100,93.143,XP_016032971.1
NP_001027143.1,4.8100000000000004e-129,358.0,100,94.413,XP_002085917.1
NP_001027144.2,6.2999999999999996e-136,376.0,100,97.838,XP_002085918.1
NP_001027145.3,5.63e-121,338.0,100,96.067,XP_002085919.1
NP_001027146.4,1.0499999999999999e-128,358.0,100,92.973,XP_002085920.1
NP_001027147.1,1.0900000000000001e-130,363.0,100,96.154,XP_002102133.3
NP_001027150.1,5.470000000000001e-124,345.0,100,90.0,XP_002104302.1
NP_001027151.1,0.0,1159.0,100,99.279,XP_002104297.2
NP_001027159.2,0.0,556.0,100,90.054,XP_044779292.1
NP_001027165.1,1.3699999999999999e-108,306.0,100,83.333,XP_002104098.1
NP_001027166.1,6.539999999999999e-140,389.0,100,90.698,XP_002104024.2
NP_001027167.1,6.559999999999999e-135,374.0,100,91.282,XP_002104023.1
NP_001027168.1,3.63e-108,306.0,100,82.514,XP_016035358.1
NP_001027169.1,1.81e-134,372.0,100,98.907,XP_002104021.1
NP_001027174.1,5.39e-121,338.0,97,84.783,XP_002076603.1
NP_001027176.1,0.0,638.0,100,98.107,XP_016035150.1
NP_001027179.1,4.99e-78,226.0,73,100.0,XP_016035148.1
NP_001027187.1,2.28e-108,304.0,100,96.129,XP_039151564.1
NP_001027188.1,1.3999999999999999e-114,320.0,100,92.683,XP_002103531.1
