NCBI GeneID,Protein Accession,Protein_length,Transcript Accession,Transcript_length
5740847,NP_001096854.1,571,NM_001103384.3,1894
5740847,NP_001245442.1,585,NM_001258513.2,2028
5740847,NP_001245441.1,501,NM_001258512.2,2036
5740235,NP_001284725.1,1404,NM_001297796.1,5089
5740235,NP_001284724.1,1402,NM_001297795.1,5083
5740235,NP_001096855.1,1403,NM_001103385.2,5082
5740235,NP_001096856.1,1403,NM_001103386.2,5012
5740235,NP_001162626.1,903,NM_001169155.1,4254
5740235,NP_001284726.1,903,NM_001297797.1,3824
3354987,NP_001368965.1,715,NM_001382036.1,3891
3354987,NP_001284730.1,715,NM_001297801.1,3612
3354987,NP_001284728.1,715,NM_001297799.1,3521
3354987,NP_001284727.1,715,NM_001297798.1,4526
3354987,NP_001033815.1,715,NM_001038726.2,3286
3354987,NP_001027032.1,715,NM_001031861.2,2903
5740408,NP_001284731.1,989,NM_001297802.1,3788
5740408,NP_001162627.1,990,NM_001169156.2,3791
30970,NP_001284732.1,359,NM_001297803.1,1751
30970,NP_726658.1,358,NM_166834.2,1630
30970,NP_569833.1,388,NM_130477.4,1731
30971,NP_001259088.1,1657,NM_001272159.1,7235
30971,NP_569834.1,1637,NM_130478.3,6538
7354420,NP_001138136.1,92,NM_001144664.3,649
7354420,NP_001138137.1,92,NM_001144665.3,587
30973,NP_477030.1,601,NM_057682.4,2110
30973,NP_726659.1,601,NM_166835.4,2054
30972,NP_001259089.1,330,NM_001272160.1,1411
30972,NP_569835.1,330,NM_130479.3,1601
3346142,NP_001259090.1,193,NM_001272161.1,1189
3346142,NP_001259091.1,204,NM_001272162.1,1196
3346142,NP_001014706.2,200,NM_001014706.2,835
30975,NP_001014708.1,579,NM_001014708.2,2961
30975,NP_001014707.1,545,NM_001014707.2,2999
30975,NP_001014712.1,427,NM_001014712.2,3035
30975,NP_001014711.1,733,NM_001014711.2,3423
30975,NP_001014709.1,699,NM_001014709.2,3461
30975,NP_001014710.1,581,NM_001014710.2,3497
30975,NP_726660.3,733,NM_166836.2,4807
30975,NP_001259094.1,343,NM_001272165.1,4140
30975,NP_001259093.1,795,NM_001272164.1,3926
30975,NP_001259092.1,828,NM_001272163.1,4025
30975,NP_476892.4,840,NM_057544.4,4042
30975,NP_001245443.1,689,NM_001258514.1,3589
30975,NP_001245444.1,843,NM_001258515.1,4051
30979,NP_569839.2,879,NM_130483.3,3352
30979,NP_001284733.1,879,NM_001297804.1,4130
30979,NP_001284734.1,879,NM_001297805.1,3428
30979,NP_726665.2,879,NM_166841.2,3402
30979,NP_726664.2,879,NM_166840.2,3376
30976,NP_001162628.1,306,NM_001169157.2,4823
30976,NP_569837.2,306,NM_130481.4,1492
30976,NP_001284735.1,277,NM_001297806.1,1675
30977,NP_569838.1,195,NM_130482.3,1055
30978,NP_525029.2,392,NM_080290.4,1188
318225,NP_001138139.1,293,NM_001144667.3,1711
318225,NP_001138140.1,293,NM_001144668.2,1603
318225,NP_001284736.1,378,NM_001297807.1,1730
318225,NP_726663.1,378,NM_166839.3,1805
318225,NP_726662.1,378,NM_166838.3,1821
318225,NP_001284737.1,378,NM_001297808.1,1834
12798292,NP_001245445.1,128,NM_001258516.2,568
12798293,NP_001245446.1,71,NM_001258517.1,251
30980,NP_476792.1,541,NM_057444.3,2038
30981,NP_476824.1,201,NM_057476.3,917
30982,NP_476803.1,345,NM_057455.3,1438
30983,NP_476623.1,257,NM_057275.5,1097
30984,NP_525030.1,407,NM_080291.4,1310
30985,NP_476694.1,486,NM_057346.5,2430
30986,NP_525031.1,556,NM_080292.4,2279
47141,NP_524879.2,1047,NM_080140.3,4142
47141,NP_001284739.1,1054,NM_001297810.1,4163
47141,NP_001284738.1,1053,NM_001297809.1,4160
30988,NP_001096858.1,177,NM_001103388.4,812
30988,NP_569840.1,124,NM_130484.3,743
318226,NP_001259095.1,121,NM_001272166.1,837
318226,NP_001162629.1,121,NM_001169158.2,580
318226,NP_726668.1,121,NM_166842.3,532
30990,NP_001259096.1,101,NM_001272167.1,787
30990,NP_001259097.1,101,NM_001272168.1,526
30990,NP_001284740.1,121,NM_001297811.1,627
30990,NP_569842.1,121,NM_130486.4,517
30991,NP_569843.2,1377,NM_130487.4,4342
30994,NP_569844.2,692,NM_130488.3,2345
30995,NP_569845.2,520,NM_130489.3,1950
30995,NP_726672.1,511,NM_166844.1,2123
30996,NP_001284741.1,127,NM_001297812.1,1344
