Protein Accession,Transcript Accession
NP_001096854.1,NM_001103384.3
NP_001245442.1,NM_001258513.2
NP_001245441.1,NM_001258512.2
NP_001284725.1,NM_001297796.1
NP_001284724.1,NM_001297795.1
NP_001096855.1,NM_001103385.2
NP_001096856.1,NM_001103386.2
NP_001162626.1,NM_001169155.1
NP_001284726.1,NM_001297797.1
NP_001368965.1,NM_001382036.1
NP_001284730.1,NM_001297801.1
NP_001284728.1,NM_001297799.1
NP_001284727.1,NM_001297798.1
NP_001033815.1,NM_001038726.2
NP_001027032.1,NM_001031861.2
NP_001284731.1,NM_001297802.1
NP_001162627.1,NM_001169156.2
NP_001284732.1,NM_001297803.1
NP_726658.1,NM_166834.2
NP_569833.1,NM_130477.4
NP_001259088.1,NM_001272159.1
NP_569834.1,NM_130478.3
NP_001138136.1,NM_001144664.3
NP_001138137.1,NM_001144665.3
NP_477030.1,NM_057682.4
NP_726659.1,NM_166835.4
NP_001259089.1,NM_001272160.1
NP_569835.1,NM_130479.3
NP_001259090.1,NM_001272161.1
NP_001259091.1,NM_001272162.1
NP_001014706.2,NM_001014706.2
NP_001014708.1,NM_001014708.2
NP_001014707.1,NM_001014707.2
NP_001014712.1,NM_001014712.2
NP_001014711.1,NM_001014711.2
NP_001014709.1,NM_001014709.2
NP_001014710.1,NM_001014710.2
NP_726660.3,NM_166836.2
NP_001259094.1,NM_001272165.1
NP_001259093.1,NM_001272164.1
NP_001259092.1,NM_001272163.1
NP_476892.4,NM_057544.4
NP_001245443.1,NM_001258514.1
NP_001245444.1,NM_001258515.1
NP_569839.2,NM_130483.3
NP_001284733.1,NM_001297804.1
NP_001284734.1,NM_001297805.1
NP_726665.2,NM_166841.2
NP_726664.2,NM_166840.2
NP_001162628.1,NM_001169157.2
NP_569837.2,NM_130481.4
NP_001284735.1,NM_001297806.1
NP_569838.1,NM_130482.3
NP_525029.2,NM_080290.4
NP_001138139.1,NM_001144667.3
NP_001138140.1,NM_001144668.2
NP_001284736.1,NM_001297807.1
NP_726663.1,NM_166839.3
NP_726662.1,NM_166838.3
NP_001284737.1,NM_001297808.1
NP_001245445.1,NM_001258516.2
NP_001245446.1,NM_001258517.1
NP_476792.1,NM_057444.3
NP_476824.1,NM_057476.3
NP_476803.1,NM_057455.3
NP_476623.1,NM_057275.5
NP_525030.1,NM_080291.4
NP_476694.1,NM_057346.5
NP_525031.1,NM_080292.4
NP_524879.2,NM_080140.3
NP_001284739.1,NM_001297810.1
NP_001284738.1,NM_001297809.1
NP_001096858.1,NM_001103388.4
NP_569840.1,NM_130484.3
NP_001259095.1,NM_001272166.1
NP_001162629.1,NM_001169158.2
NP_726668.1,NM_166842.3
NP_001259096.1,NM_001272167.1
NP_001259097.1,NM_001272168.1
NP_001284740.1,NM_001297811.1
NP_569842.1,NM_130486.4
NP_569843.2,NM_130487.4
NP_569844.2,NM_130488.3
NP_569845.2,NM_130489.3
NP_726672.1,NM_166844.1
NP_001284741.1,NM_001297812.1
NP_569846.2,NM_130490.2
NP_996322.1,NM_206599.2
NP_726675.3,NM_166846.5
NP_996321.1,NM_206598.3
NP_001284742.1,NM_001297813.1
NP_525032.2,NM_080293.4
NP_996319.1,NM_206596.2
NP_996320.1,NM_206597.2
NP_788852.2,NM_176679.3
NP_001284744.1,NM_001297815.1
NP_001138141.1,NM_001144669.2
NP_001284743.1,NM_001297814.1
NP_001245447.1,NM_001258518.3
NP_001014713.1,NM_001014713.4
NP_001138142.1,NM_001144670.2
NP_525033.1,NM_080294.5
NP_524875.1,NM_080136.3
NP_001033816.1,NM_001038727.1
NP_001033817.1,NM_001038728.3
NP_001259099.1,NM_001272170.1
NP_569847.1,NM_130491.5
NP_726677.1,NM_166847.4
NP_001245451.1,NM_001258522.2
NP_001245450.1,NM_001258521.2
NP_001245452.1,NM_001258523.2
