NCBI GeneID,Protein Accession,Protein_length,Transcript Accession,Transcript_length
120284240,XP_039147071.1,116,XM_039291137.1,1240
6733135,XP_016022836.1,1161,XM_016179292.3,5134
6730398,XP_016022838.1,842,XM_016179291.3,2742
6730395,XP_039147112.1,2849,XM_039291178.2,10725
6730396,XP_044778267.1,1007,XM_044922332.1,5526
6730397,XP_002077579.1,503,XM_002077543.4,1890
27207508,XP_016022864.1,406,XM_016183189.2,9324
6730399,XP_002077580.1,365,XM_002077544.4,1931
6730400,XP_039147122.1,2070,XM_039291188.2,6486
6730401,XP_002077582.2,374,XM_002077546.3,1596
6730402,XP_002077583.2,649,XM_002077547.4,2486
6730403,XP_016022867.1,408,XM_016179301.3,2333
27206535,XP_016022872.1,149,XM_016179271.3,2046
6730405,XP_016022873.1,677,XM_016179269.3,2881
6730406,XP_002077587.3,699,XM_002077551.4,2667
27206536,XP_016022876.1,399,XM_016179306.3,2237
6730408,XP_044778272.1,152,XM_044922337.1,726
6730409,XP_002077590.1,416,XM_002077554.4,1279
6730410,XP_002077591.1,413,XM_002077555.4,1887
6730412,XP_016022879.1,1655,XM_016179266.3,5439
6730411,XP_002077592.1,238,XM_002077556.3,891
6730415,XP_002077596.1,500,XM_002077560.4,1619
6730416,XP_016022882.1,101,XM_016179308.3,606
6730417,XP_002077598.1,347,XM_002077562.4,1475
6730418,XP_002077599.1,199,XM_002077563.4,801
6730420,XP_039147090.1,5565,XM_039291156.2,19631
6730421,XP_002077602.1,248,XM_002077566.4,940
6730422,XP_016022890.1,324,XM_016179262.3,1430
6730423,XP_002077604.2,715,XM_002077568.4,2753
6730424,XP_039147100.1,5546,XM_039291166.2,18694
6730426,XP_016022895.1,443,XM_016179315.3,1447
6730427,XP_002077608.1,298,XM_002077572.4,1002
6730428,XP_016022898.1,505,XM_016179257.3,1593
6730429,XP_002077610.1,968,XM_002077574.4,11264
6730430,XP_002077611.2,666,XM_002077575.4,2270
6730431,XP_002077612.1,552,XM_002077576.4,1810
6730432,XP_002077613.1,220,XM_002077577.4,859
6730433,XP_016022899.1,611,XM_016179255.3,2214
6730434,XP_002077615.1,1034,XM_002077579.3,4049
6730435,XP_002077616.1,275,XM_002077580.4,1069
6730436,XP_016022901.1,248,XM_016179253.3,1370
27206534,XP_016022903.1,502,XM_016179251.3,2459
6730439,XP_002077620.1,125,XM_002077584.4,783
6730440,XP_002077621.1,263,XM_002077585.4,1285
6730441,XP_002077622.1,490,XM_002077586.4,2009
6730442,XP_016022904.1,506,XM_016179317.2,4618
6730443,XP_016022907.1,1318,XM_016179320.3,5528
6730444,XP_002077625.1,271,XM_002077589.4,917
6730445,XP_002077626.1,277,XM_002077590.4,983
27208012,XP_016022912.1,284,XM_016183634.3,1024
27206533,XP_016022913.1,677,XM_016179250.2,2190
6730447,XP_002077628.2,705,XM_002077592.4,2605
6730448,XP_002077629.1,476,XM_002077593.4,2056
6730450,XP_016022914.1,410,XM_016179325.3,1866
6730451,XP_002077632.1,1241,XM_002077596.4,4392
6730452,XP_002077633.1,1129,XM_002077597.4,3593
6730453,XP_039151966.1,952,XM_039296032.2,4235
6730454,XP_002077635.1,700,XM_002077599.4,3217
6730455,XP_002077636.1,347,XM_002077600.4,1246
6730456,XP_002077637.1,112,XM_002077601.4,679
6730457,XP_002077638.1,141,XM_002077602.4,894
6730458,XP_002077639.1,193,XM_002077603.4,774
6730459,XP_016022916.2,617,XM_016179326.3,1938
6730460,XP_016022917.1,1424,XM_016179327.3,6887
6730461,XP_016022919.1,491,XM_016179247.3,2251
6730462,XP_002077643.2,354,XM_002077607.4,1493
6730463,XP_002077644.1,667,XM_002077608.4,2659
6730465,XP_016022923.1,1472,XM_016179245.2,6954
6730466,XP_039146931.1,749,XM_039290997.2,2628
6730468,XP_039146927.1,1197,XM_039290993.2,6026
6730467,XP_002077648.1,428,XM_002077612.4,2056
6730469,XP_016022927.1,159,XM_016179243.3,1141
6730470,XP_016022928.1,389,XM_016179242.3,1735
6730471,XP_016022931.1,440,XM_016179334.3,1776
27206200,XP_016022933.1,475,XM_016169020.3,2961
6730472,XP_016022934.1,1502,XM_016179240.3,6082
6730473,XP_002077654.1,185,XM_002077618.4,852
27206532,XP_016022937.1,798,XM_016179239.3,2728
6730475,XP_002077656.2,700,XM_002077620.4,2317
6730476,XP_002077657.2,490,XM_002077621.4,1622
27208557,XP_016022938.2,1373,XM_016184135.3,4225
6740745,XP_002077537.2,311,XM_002077501.4,1254
6730477,XP_002077658.1,153,XM_002077622.4,1214
6730478,XP_002077659.1,218,XM_002077623.4,1508
6730479,XP_002077660.1,355,XM_002077624.4,1953
6730480,XP_002077661.2,419,XM_002077625.4,2433
6730482,XP_002077663.1,133,XM_002077627.4,714
6730483,XP_002077664.2,249,XM_002077628.3,900
6730485,XP_002077666.1,269,XM_002077630.4,912
123327328,XP_044779460.1,782,XM_044923525.1,2556
6730487,XP_039154428.1,3554,XM_039298494.2,12530
6730488,XP_002077669.1,651,XM_002077633.3,2195
6730489,XP_002077670.2,577,XM_002077634.4,3430
6730490,XP_039147073.1,1305,XM_039291139.1,6014
6730491,XP_002077672.1,99,XM_002077636.4,464
27209359,XP_016022945.1,100,XM_016184794.3,466
27208294,XP_016022946.1,131,XM_016183881.2,553
6730492,XP_002077673.2,494,XM_002077637.4,2366
6730493,XP_002077674.1,572,XM_002077638.4,1984
6730494,XP_002077675.2,768,XM_002077639.4,2630
6730495,XP_002077676.1,200,XM_002077640.4,738
6730496,XP_002077677.1,539,XM_002077641.4,1769
6730497,XP_002077678.1,717,XM_002077642.4,2366
6730499,XP_002077680.2,297,XM_002077644.3,1056
6730500,XP_002077681.2,262,XM_002077645.4,794
6730501,XP_002077682.1,255,XM_002077646.4,1549
27207647,XP_016022949.1,296,XM_016183338.3,1290
27207783,XP_044779211.1,319,XM_044923276.1,1641
27208192,XP_016022951.1,467,XM_016183805.3,1566
6730502,XP_016022952.1,548,XM_016179339.3,3752
6730503,XP_002077684.1,665,XM_002077648.4,3420
6730504,XP_002077685.1,338,XM_002077649.4,1242
6730505,XP_002077686.1,331,XM_002077650.4,1242
6730506,XP_002077687.1,145,XM_002077651.4,1235
27209406,XP_016022958.1,316,XM_016184840.3,1163
6730507,XP_016022966.1,806,XM_016179231.2,2755
27206531,XP_016022967.1,345,XM_016179227.3,1218
6730510,XP_016022969.1,1164,XM_016179343.3,5416
6739191,XP_016022970.1,237,XM_016169025.3,809
27208148,XP_016022971.1,1956,XM_016183761.3,6041
6730512,XP_016022972.1,789,XM_016179344.3,2611
6730515,XP_002077694.2,950,XM_002077658.4,4631
6730516,XP_039148418.1,939,XM_039292484.2,3723
6730520,XP_039147245.1,1320,XM_039291311.2,8392
123327046,XP_044778288.1,144,XM_044922353.1,1542
6730519,XP_002077698.1,182,XM_002077662.4,841
