NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name	Gene Type	Transcripts	Gene Group Identifier	Gene Group Method	Chromosomes	Nomenclature ID	Ensembl GeneIDs	Annotation Genomic Range Accession 	Annotation Genomic Range Start	Annotation Genomic Range Stop	OMIM IDs	Orientation	Proteins	Synonyms	Taxonomic ID	SwissProt Accessions
31271	w	white	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	31271	NCBI Ortholog	X	FBgn0003996		NC_004354.4	2790599	2796466		minus	1	BACN33B1.1,c23,CG2759,Dmel\CG2759,DmWhite,DMWHITE,e(g),EG:BACN33B1.1,m(g),mini-white,mw,W,w(AT)[[13]],White	7227	
31293	N	Notch	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	31293	NCBI Ortholog	X	FBgn0004647		NC_004354.4	3134870	3172221		plus	2	1.1,16-178,16-55,anon-EST:Liang-1.12,Ax,CG3936,Chp,clone 1.12,co,Co,CT13012,Dmel\CG3936,dNotch,EG:140G11.1,EG:163A10.2,fa,l(1)3Cb,l(1)Ax,l(1)N,nd,NECD,Nicd,NICD,notch,n[fah],RICN,shd,spl,swb	7227	
34009	wg	wingless	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	34009	NCBI Ortholog	2L	FBgn0284084		NT_033779.5	7307159	7316265		plus	1	Br,CG4889,D.int-1,Dint-1,Dm Wg,Dm-1,Dmel\CG4889,DWint-1,dWnt,Dwnt-1,DWnt-1,fg,Gla,I,int-1,l(2)02657,l(2)rO727,l(2)SH1281,l(2)SH2 1281,l(2)wg,Sp,spd,Wg,WG,wgl,wnt,Wnt,WNT,Wnt-1,wnt1,Wnt1	7227	
33432	dpp	decapentaplegic	Drosophila melanogaster	fruit fly	PROTEIN_CODING	4	33432	NCBI Ortholog	2L	FBgn0000490		NT_033779.5	2428372	2459823		plus	4	blk,Bmp,BMP,CG9885,Dm-DPP,DmDPP,Dmel\CG9885,Dpp,DPP,DPP-C,Dpp/TGFbeta,Hin-d,ho,l(2)10638,l(2)22Fa,l(2)k17036,M(2)23AB,M(2)LS1,shv,Tg,TGF-b,TGF-beta,Tgfbeta,TGFbeta	7227	
36240	en	engrailed	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	36240	NCBI Ortholog	2R	FBgn0000577		NT_033778.4	11524006	11528210		minus	2	153867_at,Apa,CG9015,Dmel\CG9015,En,EN,en1,Eng,Engr,Engrailed,Engrailed/Invected,EnR,Es,spa2,spt,V	7227	
31251	per	period	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	31251	NCBI Ortholog	X	FBgn0003068		NC_004354.4	2685580	2692780		plus	2	CG2647,Clk,clk-6,Dmel\CG2647,dmper,dper,dPer,dPER,EG:155E2.4,mel_per,Per,PER,Per-2	7227	
3771877	Adh	Alcohol dehydrogenase	Drosophila melanogaster	fruit fly	PROTEIN_CODING	5	3771877	NCBI Ortholog	2L	FBgn0000055		NT_033779.5	14615552	14618902		plus	5	adh,ADH,Adh3,BG:DS01486.8,CG32954,CG3481,dADH,DM-ADH,DmADH,Dmel\CG3481,Dreg-1,Reg-1,T16	7227	
31151	arm	armadillo	Drosophila melanogaster	fruit fly	PROTEIN_CODING	6	31151	NCBI Ortholog	X	FBgn0000117		NC_004354.4	1891401	1900646		minus	6	Arm,ARM,Armadillo,beta-cat,beta-Cat,beta-cat-arm,beta-catenin,beta-Catenin,betacat,betaCatenin,bgr;-Cat,CG11579,Dm Arm,dmCTNNB1,Dmel\CG11579,EG:86E4.6,l(1)2Bv,l(1)arm,l(1)G0192,l(1)G0234,l(1)G0410,t12687 ALR Dm	7227	
42737	hh	hedgehog	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	42737	NCBI Ortholog	3R	FBgn0004644		NT_033777.3	23128169	23141906		minus	1	anon-WO0134654.19,anon-WO0182946.19,bar,bar-3,bar3,CG4637,Dmel\CG4637,Dmhh,hg,Hg,Hh,HH,l(3)hh,l(3)neo56,l(3)neo57,Mir,Mrt	7227	
42034	Ubx	Ultrabithorax	Drosophila melanogaster	fruit fly	PROTEIN_CODING	6	42034	NCBI Ortholog	3R	FBgn0003944		NT_033777.3	16656623	16734426		minus	6	abx,abx/bx,bx,BX-C,bxd,bxd/pbx,bxd[D],bxl,Bxl,bx[D],Cbx,CG10388,Dm Ubx,Dmel\CG10388,DmUbx,DUbx,Hm,l(3)89Eb,pbx,Uab,ubx,UBx,UBX,Ubx1b,Ubx[[Drosophila]]	7227	
