NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name	Gene Type	Transcripts	Gene Group Identifier	Gene Group Method	Chromosomes	Nomenclature ID	Ensembl GeneIDs	Annotation Genomic Range Accession 	Annotation Genomic Range Start	Annotation Genomic Range Stop	OMIM IDs	Orientation	Proteins	Synonyms	Taxonomic ID	SwissProt Accessions
6732347	LOC6732347	alcohol dehydrogenase	Drosophila simulans		PROTEIN_CODING	1	3771877	NCBI Ortholog	2L	LOC6732347		NC_052520.2	14437167	14438898		plus	1	Adh,Adh-PA,ADH-sim,GD23968,Dsim\Adh,GD23968-PA	7240	Q24641
6734902	LOC6734902	uncharacterized LOC6734902	Drosophila simulans		PROTEIN_CODING	1	36957	NCBI Ortholog	2R	LOC6734902		NC_052521.2	14663999	14665263		plus	1	HP3,LHR,Lhr-PA,CG18468,GD11266,Lhr-sim,sim-Lhr,Dsim\Lhr,GD11266-PA,LHR[[sim]]	7240	
6725632	LOC6725632	tryptophan 2,3-dioxygenase	Drosophila simulans		PROTEIN_CODING	1	32026	NCBI Ortholog	X	LOC6725632		NC_052525.2	10469394	10471130		plus	1	TO,TDO,TRPO,v-PA,Dsim\v,GD16993,Dsim\v-PA,vermilion,GD16993-PA	7240	Q24630
6737787	LOC6737787	esterase 6	Drosophila simulans		PROTEIN_CODING	1	39392	NCBI Ortholog	3L	LOC6737787		NC_052522.2	11966517	11968285		plus	1	Est6,est-6,GD14366,Est-6-PA,Dsim\Est-6,GD14366-PA	7240	
27206595	LOC27206595	glucose-6-phosphate 1-dehydrogenase	Drosophila simulans		PROTEIN_CODING	3	32974	NCBI Ortholog	X	LOC27206595		NC_052525.2	19141581	19146680		plus	3	Zw,G6pd,G-6PD,Zw-PB,Zw-PC,Zw-PD,Dsim\Zw,GD24877,Dsim\g6pd,Dsim\G6pdh,Dsim\Zw-PB,Dsim\Zw-PC,Dsim\Zw-PD,GD24877-PB,GD24877-PC,GD24877-PD	7240	Q24625
6739897	LOC6739897	protein yellow	Drosophila simulans		PROTEIN_CODING	1	30980	NCBI Ortholog	X	LOC6739897		NC_052525.2	226624	230899		plus	1	y-PB,Dsim\y,yellow,GD24705,Dsim\y-PB,GD24705-PB	7240	P62407
6731127	LOC6731127	accessory gland-specific peptide 26Aa	Drosophila simulans		PROTEIN_CODING	1	33817	NCBI Ortholog	2L	LOC6731127		NC_052520.2	5867722	5868965		minus	1	Mst,Acp26A,ovulin,Acp26Aa,GD22626,Mst26Aa,Acp26Aa-PA,GD22626-PA	7240	
6738353	LOC6738353	female-specific protein transformer	Drosophila simulans		PROTEIN_CODING	2	39849	NCBI Ortholog	3L	LOC6738353		NC_052522.2	16327637	16328679		minus	2	tra,tra-PA,tra-PB,GD12458,Dsim\tra,GD12458-PA,GD12458-PB	7240	
6724962	LOC6724962	regulatory protein zeste	Drosophila simulans		PROTEIN_CODING	1	31230	NCBI Ortholog	X	LOC6724962		NC_052525.2	2218068	2220683		plus	1	z-PA,zeste,Dsim\z,GD16608,Dsim\z-PA,GD16608-PA	7240	
6732348	LOC6732348	alcohol dehydrogenase-related 31 kDa protein	Drosophila simulans		PROTEIN_CODING	2	3772432	NCBI Ortholog	2L	LOC6732348		NC_052520.2	14439044	14440513		plus	2	Adhr,Adh[r],Adhr-PB,Adhr-PC,GD23969,Dsim\Adhr,GD23969-PB,GD23969-PC	7240	
6729868	LOC6729868	myosin light chain alkali	Drosophila simulans		PROTEIN_CODING	2	43323	NCBI Ortholog	3R	LOC6729868		NC_052523.2	23827737	23830591		minus	2	Mlc1,Mlc-1,GD18066,Mlc1-PA,Mlc1-PB,Dsim\Mlc1,GD18066-PA,GD18066-PB	7240	Q24654
6724920	LOC6724920	6-phosphogluconate dehydrogenase, decarboxylating	Drosophila simulans		PROTEIN_CODING	1	31185	NCBI Ortholog	X	LOC6724920		NC_052525.2	1926762	1930072		plus	1	pgd,6PGD,6pgdh,Pgd-PB,GD16588,Dsim\Pgd,GD16588-PB	7240	
6729693	LOC6729693	protein bride of sevenless	Drosophila simulans		PROTEIN_CODING	1	43146	NCBI Ortholog	3R	LOC6729693		NC_052523.2	22182350	22187322		plus	1	boss,GD21254,boss-PA,Dsim\boss,GD21254-PA	7240	
6725576	LOC6725576	vitellogenin-2	Drosophila simulans		PROTEIN_CODING	1	31938	NCBI Ortholog	X	LOC6725576		NC_052525.2	9636272	9637891		minus	1	yp2,Yp2-PA,GD16043,Dsim\Yp2,GD16043-PA	7240	
6727070	LOC6727070	glucose dehydrogenase [FAD, quinone]	Drosophila simulans		PROTEIN_CODING	3	40875	NCBI Ortholog	3R	LOC6727070		NC_052523.2	3739441	3753080		minus	3	GDH,gld,Gld-PB,GD19489,Dsim\Gld,GD19489-PB	7240	
6727219	LOC6727219	mycosubtilin synthase subunit C	Drosophila simulans		PROTEIN_CODING	1	42521	NCBI Ortholog	3R	LOC6727219		NC_052523.2	5017916	5025275		plus	1	e-PA,ebony,Dsim\e,GD19997,Dsim\e-PA,GD19997-PA	7240	
6737625	LOC6737625	superoxide dismutase [Cu-Zn]	Drosophila simulans		PROTEIN_CODING	1	39251	NCBI Ortholog	3L	LOC6737625		NC_052522.2	10901343	10902942		minus	1	Cu,Sod,Sod1,SOD-1,Sod-PA,GD12822,Dsim\Sod,GD12822-PA	7240	P61852
6740158	LOC6740158	transcriptional activator cubitus interruptus	Drosophila simulans		PROTEIN_CODING	3	43767	NCBI Ortholog	4	LOC6740158		NC_052524.2	14093	22030		minus	3	ci,ci-PA,ci-PB,ci[D],Dsim\ci,GD24828,Dsim\ci-PA,Dsim\ci-PB,GD24828-PA,GD24828-PB	7240	
6731131	LOC6731131	glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	Drosophila simulans		PROTEIN_CODING	2	33824	NCBI Ortholog	2L	LOC6731131		NC_052520.2	5918077	5923222		plus	2	Gpdh,GPDH-1,GD23370,Gpdh-PA,Gpdh-PB,Dsim\Gpdh,alpha-GPD,GD23370-PA,GD23370-PB	7240	
6728385	LOC6728385	glutathione S-transferase 1-1-like	Drosophila simulans		PROTEIN_CODING	1	41503	NCBI Ortholog	3R	LOC6728385		NC_052523.2	13762522	13764052		plus	1	GT,gst,GST1,gstD1,GD20577,dsGSTD1,GstD1-PA,Dsim\GstD1,GD20577-PA	7240	P67805
6734869	LOC6734869	alpha-amylase A	Drosophila simulans		PROTEIN_CODING	1			2R	LOC6734869		NC_052521.2	14358942	14360559		minus	1	Amy,Amy-p,GD25494,Amy-p-PA,Dsim\Amy,alpha-AMY,Dsim\Amy-p,GD25494-PA	7240	
6726541	LOC6726541	segmentation protein Runt	Drosophila simulans		PROTEIN_CODING	2	33059	NCBI Ortholog	X	LOC6726541		NC_052525.2	20108102	20110982		plus	2	run,run-PA,run-PB,GD17500,Dsim\run,GD17500-PA,GD17500-PB	7240	
6731126	LOC6731126	accessory gland-specific peptide 26Ab	Drosophila simulans		PROTEIN_CODING	1	33816	NCBI Ortholog	2L	LOC6731126		NC_052520.2	5867211	5867770		minus	1	Acp26A,Acp26Ab,GD22627,Mst26Ab,Acp26Ab-PA,GD22627-PA	7240	
6730163	LOC6730163	sex-regulated protein janus-B	Drosophila simulans		PROTEIN_CODING	1	43568	NCBI Ortholog	3R	LOC6730163		NC_052523.2	26157877	26158630		minus	1	jan,janB,janus,GD17410,janB-PA,Dsim\janB,GD17410-PA	7240	Q9BM95
6730164	LOC6730164	sex-regulated protein janus-A	Drosophila simulans		PROTEIN_CODING	3	43569	NCBI Ortholog	3R	LOC6730164		NC_052523.2	26158488	26159463		minus	3	jan,janA,janus,GD17399,janA-PA,janA-PB,janA-PC,Dsim\janA,GD17399-PA,GD17399-PB,GD17399-PC	7240	
6734871	LOC6734871	alpha-amylase A	Drosophila simulans		PROTEIN_CODING	1			2R	LOC6734871		NC_052521.2	14365065	14366657		plus	1	GD28482,GD28482-PA	7240	
6727783	LOC6727783	homeotic protein ultrabithorax	Drosophila simulans		PROTEIN_CODING	4	42034	NCBI Ortholog	3R	LOC6727783		NC_052523.2	9503553	9579117		plus	4		7240	
6730715	LOC6730715	protein decapentaplegic	Drosophila simulans		PROTEIN_CODING	4	33432	NCBI Ortholog	2L	LOC6730715		NC_052520.2	2440261	2471341		plus	4	dpp,dpp-PB,GD23157,Dsim\dpp,GD23157-PB	7240	
6732838	LOC6732838	protein ref(2)P	Drosophila simulans		PROTEIN_CODING	1	35246	NCBI Ortholog	2L	LOC6732838		NC_052520.2	19275401	19278503		plus	1	ref2p,GD24222,ref(2)P,GD24222-PA,ref(2)P-PA	7240	
6725604	LOC6725604	uncharacterized LOC6725604	Drosophila simulans		PROTEIN_CODING	1	31988	NCBI Ortholog	X	LOC6725604		NC_052525.2	10144929	10149973		minus	1	hmr,CG1619,Hmr-PB,GD16026,Dsim\Hmr,GD16026-PB,HMR[[sim]]	7240	
6728274	LOC6728274	xanthine dehydrogenase	Drosophila simulans		PROTEIN_CODING	2	41605	NCBI Ortholog	3R	LOC6728274		NC_052523.2	13139336	13144832		minus	2	ry,XDH,rosy,ry-PB,Dsim\ry,GD18875,Dsim\ry-PB,GD18875-PB	7240	
6728719	LOC6728719	metallothionein-1	Drosophila simulans		PROTEIN_CODING	1	41202	NCBI Ortholog	3R	LOC6728719		NC_052523.2	16315566	16316209		plus	1	mtn,MT-1,MtnA,GD20757,MtnA-PA,Dsim\MtnA,GD20757-PA	7240	P61874
6724768	LOC6724768	achaete-scute complex protein T4	Drosophila simulans		PROTEIN_CODING	1	30982	NCBI Ortholog	X	LOC6724768		NC_052525.2	265887	267387		plus	1	T4,sc,sc-PA,scute,Dsim\sc,GD16501,Dsim\sc-PA,GD16501-PA	7240	
6732777	LOC6732777	aromatic-L-amino-acid decarboxylase	Drosophila simulans		PROTEIN_CODING	2	35190	NCBI Ortholog	2L	LOC6732777		NC_052520.2	18867724	18871505		minus	2	Ddc,Ddc-PA,Ddc-PB,Ddc-PC,GD21778,Dsim\Ddc,GD21778-PA,GD21778-PB,GD21778-PC	7240	
6725392	LOC6725392	defective chorion-1 protein, FC125 isoform	Drosophila simulans		PROTEIN_CODING	3	31691	NCBI Ortholog	X	LOC6725392		NC_052525.2	7430925	7436811		minus	3	dec1,dec-1,GD16144,dec-1-PB,dec-1-PC,Dsim\dec-1,GD16144-PB,GD16144-PC	7240	
6735394	LOC6735394	general odorant-binding protein 57d	Drosophila simulans		PROTEIN_CODING	1	246671	NCBI Ortholog	2R	LOC6735394		NC_052521.2	17719271	17720089		minus	1	sim-d,Obp57d,Obp57e,GD25274,Obp57d-PA,DsimObp57d,GD25274-PA	7240	
6728943	LOC6728943	cytochrome c oxidase subunit 7A1, mitochondrial	Drosophila simulans		PROTEIN_CODING	1	40995	NCBI Ortholog	3R	LOC6728943		NC_052523.2	17685877	17686580		minus	1	cox7a,CoVIIa,GD18537,CoVIIa-PA,GD18537-PA	7240	
6727008	LOC6727008	homeotic protein bicoid	Drosophila simulans		PROTEIN_CODING	4	40830	NCBI Ortholog	3R	LOC6727008		NC_052523.2	3241100	3244616		minus	4	bcd,bcd-PA,bcd-PB,bcd-PC,bcd-PD,GD19520,Dsim\bcd,GD19520-PA,GD19520-PB,GD19520-PC,GD19520-PD	7240	
6737325	LOC6737325	protein hairy	Drosophila simulans		PROTEIN_CODING	1	38995	NCBI Ortholog	3L	LOC6737325		NC_052522.2	8514982	8518494		plus	1	h-PA,hairy,Dsim\h,GD14118,Dsim\h-PA,GD14118-PA	7240	
6725342	LOC6725342	uncharacterized LOC6725342	Drosophila simulans		PROTEIN_CODING	1	3772180	NCBI Ortholog	X	LOC6725342		NC_052525.2	6656843	6679477		minus	1	Sxl,Sxl-PB,GD16165,Dsim\Sxl,GD16165-PB,Sex-lethal	7240	
6730162	LOC6730162	sex-regulated protein janus-B	Drosophila simulans		PROTEIN_CODING	1	43567	NCBI Ortholog	3R	LOC6730162		NC_052523.2	26156915	26157687		minus	1	ocn,ocnus,ocn-PA,GD17421,Dsim\ocn,GD17421-PA	7240	
6728840	LOC6728840	nuclear factor NF-kappa-B p110 subunit	Drosophila simulans		PROTEIN_CODING	1	41087	NCBI Ortholog	3R	LOC6728840		NC_052523.2	17030080	17033825		plus	1	Rel,Rel-PA,GD20822,Dsim\Rel,GD20822-PA	7240	
6730181	LOC6730181	triosephosphate isomerase	Drosophila simulans		PROTEIN_CODING	2	43582	NCBI Ortholog	3R	LOC6730181		NC_052523.2	26252018	26253650		minus	2	TIM,Tpi,Tpi-PA,Tpi-PB,GD17322,Dsim\Tpi,GD17322-PA,GD17322-PB	7240	Q7JNS1
6737389	LOC6737389	gamma-aminobutyric acid receptor subunit beta	Drosophila simulans		PROTEIN_CODING	14	39054	NCBI Ortholog	3L	LOC6737389		NC_052522.2	8969630	9004549		minus	14	Rdl,Rdl-PB,Rdl-PC,Rdl-PD,Rdl-PE,Rdl-PF,Rdl-PG,Rdl-PH,Rdl-PI,GD12940,Dsim\Rdl,GD12940-PB,GD12940-PC,GD12940-PD,GD12940-PE,GD12940-PF,GD12940-PG,GD12940-PH,GD12940-PI	7240	Q9BLY8
6729286	LOC6729286	nuclear pore complex protein Nup98-Nup96	Drosophila simulans		PROTEIN_CODING	1	42816	NCBI Ortholog	3R	LOC6729286		NC_052523.2	20005067	20012374		minus	1	Nup96,Nup98,GD18351,Nup98-PB,l(3)95BCd,Dsim\Nup98,GD18351-PB	7240	
6734800	LOC6734800	alpha-amylase-related protein	Drosophila simulans		PROTEIN_CODING	1	36863	NCBI Ortholog	2R	LOC6734800		NC_052521.2	13893064	13894787		minus	1	AMYREL,GD25526,Amyrel-PA,GD25526-PA	7240	
6738339	LOC6738339	protein scarlet	Drosophila simulans		PROTEIN_CODING	1	39836	NCBI Ortholog	3L	LOC6738339		NC_052522.2	16240508	16243299		plus	1	st,st-PA,Dsim\st,GD14642,scarlet,Dsim\st-PA,GD14642-PA	7240	
