NCBI_GeneID,Symbol,Description,Gene_Type,Transcripts,Transcript_Accession,Nomenclature ID,Nomenclature ID2,Chromosomes,Transcript_Genomic_Accession,Transcript_Genomic_Start,Transcript_Genomic_Stop,Orientation,Proteins,Protein_Accession,Synonyms
LOC120284189,LOC120284189,ankyrin repeat domain-containing protein 39,PROTEIN_CODING,1.0,XM_016183246.3,LOC120284189,LOC120284189,2L,NC_052520.2,5014391,5015683,plus,1.0,XP_016023540.1,"GD27711,GD27711-PA,GD27711-PB,GD27711-PC"
LOC120284190,LOC120284190,uncharacterized LOC120284190,PROTEIN_CODING,1.0,XM_039291841.2,LOC120284190,LOC120284190,2R,NC_052521.2,12940843,12941215,minus,1.0,XP_039147775.1,"GD29106,GD29106-PA"
LOC120284191,LOC120284191,protein NCBP2AS2 homolog,PROTEIN_CODING,1.0,XM_039292638.2,LOC120284191,LOC120284191,2R,NC_052521.2,15388366,15388785,plus,1.0,XP_039148572.1,"GD15439,GD15439-PB"
LOC120284192,LOC120284192,mitochondrial import inner membrane translocase subunit Tim10,PROTEIN_CODING,1.0,XM_002082493.4,LOC120284192,LOC120284192,2R,NC_052521.2,18862555,18863123,minus,1.0,XP_002082529.1,"GD28083,GD28083-PA,GD28083-PB"
LOC120284193,LOC120284193,serine protease grass,PROTEIN_CODING,1.0,XM_016178267.3,LOC120284193,LOC120284193,2L,NC_052520.2,14591986,14593420,minus,1.0,XP_016025013.1,"GD21987,GD21987-PA"
LOC120284195,LOC120284195,probable serine/threonine-protein kinase cdc7,PROTEIN_CODING,1.0,XM_016183318.3,LOC120284195,LOC120284195,2L,NC_052520.2,17072242,17074183,minus,1.0,XP_016025280.1,"GD27787,GD27787-PA,GD27787-PB,GD27787-PC,GD27787-PD"
LOC120284196,LOC120284196,uncharacterized LOC120284196,PROTEIN_CODING,1.0,XM_039293065.2,LOC120284196,LOC120284196,3L,NC_052522.2,68453,69407,minus,1.0,XP_039148999.1,"GD13542,GD13542-PB"
LOC120284197,LOC120284197,dual specificity protein phosphatase 19,PROTEIN_CODING,1.0,XM_039293782.2,LOC120284197,LOC120284197,3L,NC_052522.2,190399,191032,minus,1.0,XP_039149716.1,"GD29287,GD29287-PA,GD29287-PB"
LOC120284198,LOC120284198,trypsin beta,PROTEIN_CODING,1.0,XM_039293515.2,LOC120284198,LOC120284198,3L,NC_052522.2,3160632,3161738,minus,1.0,XP_039149449.1,"GD13340,GD13340-PB"
LOC120284199,LOC120284199,uncharacterized LOC120284199,PROTEIN_CODING,1.0,XM_039294700.2,LOC120284199,LOC120284199,2L,NC_052520.2,17761393,17761848,plus,1.0,XP_039150634.1,"GD24123,GD24123-PB"
LOC120284200,LOC120284200,putative phospholipase B-like lamina ancestor,PROTEIN_CODING,1.0,XM_039293185.2,LOC120284200,LOC120284200,3L,NC_052522.2,5243652,5246141,minus,1.0,XP_039149119.1,"GD13205,GD13205-PA,GD13205-PB"
LOC120284201,LOC120284201,uncharacterized LOC120284201,PROTEIN_CODING,1.0,XM_039293004.2,LOC120284201,LOC120284201,3L,NC_052522.2,7215112,7215852,minus,1.0,XP_039148938.1,"GD13073,GD13073-PB"
LOC120284202,LOC120284202,larval cuticle protein 4,PROTEIN_CODING,1.0,XM_002084379.4,LOC120284202,LOC120284202,3L,NC_052522.2,10684107,10684975,plus,1.0,XP_002084415.1,"GD14266,GD14266-PB,GD14266-PC"
LOC120284203,LOC120284203,uncharacterized LOC120284203,PROTEIN_CODING,1.0,XM_039294835.2,LOC120284203,LOC120284203,3R,NC_052523.2,10878121,10878811,minus,1.0,XP_039150769.1,"GD19016,GD19016-PB"
LOC120284204,LOC120284204,uncharacterized LOC120284204,PROTEIN_CODING,1.0,XM_039294842.2,LOC120284204,LOC120284204,3R,NC_052523.2,13693892,13694928,plus,1.0,XP_039150776.1,"GD20563,GD20563-PA"
LOC120284205,LOC120284205,mitochondrial transcription rescue factor 1,PROTEIN_CODING,1.0,XM_039295100.2,LOC120284205,LOC120284205,3R,NC_052523.2,24104167,24104944,minus,1.0,XP_039151034.1,"GD27171,GD27171-PA"
LOC120284206,LOC120284206,serine/threonine-protein kinase GD17699,PROTEIN_CODING,4.0,XM_039292670.1,LOC120284206,LOC120284206,2R,NC_052521.2,858701,884213,minus,3.0,XP_039148604.1,"GD17699,GD17699-PA,GD17699-PB"
LOC120284207,LOC120284207,"glucose dehydrogenase [FAD, quinone]",PROTEIN_CODING,1.0,XM_039297248.2,LOC120284207,LOC120284207,X,NC_052525.2,14299253,14301516,minus,1.0,XP_039153182.1,"GD15832,GD15832-PB"
LOC120284208,LOC120284208,eukaryotic translation initiation factor 5,PROTEIN_CODING,1.0,XM_016172499.3,LOC120284208,LOC120284208,X,NC_052525.2,15452104,15453922,minus,1.0,XP_016039568.1,"GD15766,GD15766-PA,GD15766-PB,GD15766-PC"
LOC120284209,LOC120284209,uncharacterized LOC120284209,ncRNA,5.0,XR_005543697.2,LOC120284209,LOC120284209,2L,NC_052520.2,15775352,15776995,plus,-,-,-
LOC120284210,LOC120284210,uncharacterized LOC120284210,PROTEIN_CODING,1.0,XM_039296016.1,LOC120284210,LOC120284210,3R,NC_052523.2,13045100,13055394,plus,1.0,XP_039151950.1,"GD20521,GD20521-PB"
LOC120284211,LOC120284211,uncharacterized LOC120284211,PROTEIN_CODING,2.0,XM_039294172.2,LOC120284211,LOC120284211,3L,NC_052522.2,11612376,11613924,minus,2.0,XP_039150106.2,"GD28156,GD28156-PA"
LOC120284212,LOC120284212,uncharacterized LOC120284212,PROTEIN_CODING,1.0,XM_039298608.2,LOC120284212,LOC120284212,2L,NC_052520.2,1548224,1548875,minus,1.0,XP_039154542.1,"GD22905,GD22905-PB,GD22905-PC"
LOC120284213,LOC120284213,CXXC-type zinc finger protein 1,PROTEIN_CODING,3.0,XM_039296874.2,LOC120284213,LOC120284213,X,NC_052525.2,8827120,8830855,minus,3.0,XP_039152808.1,"GD16071,GD16071-PB"
LOC120284214,LOC120284214,osmotic avoidance abnormal protein 3,PROTEIN_CODING,4.0,XM_039296090.2,LOC120284214,LOC120284214,4,NC_052524.2,1070304,1076319,plus,4.0,XP_039152024.1,-
LOC120284215,LOC120284215,chymotrypsin-1,PROTEIN_CODING,1.0,XM_039297531.2,LOC120284215,LOC120284215,X,NC_052525.2,16141750,16142796,minus,1.0,XP_039153465.1,-
LOC120284216,LOC120284216,E3 SUMO-protein ligase NSE2,PROTEIN_CODING,1.0,XM_039297827.2,LOC120284216,LOC120284216,X,NC_052525.2,14999526,15000614,minus,1.0,XP_039153761.1,"GD15796,GD15796-PB"
LOC120284217,LOC120284217,uncharacterized LOC120284217,PROTEIN_CODING,3.0,XM_044923860.1,LOC120284217,LOC120284217,Un,NW_025416883.1,930570,940148,minus,3.0,XP_044779795.1,-
LOC120284218,LOC120284218,uncharacterized LOC120284218,PROTEIN_CODING,2.0,XM_044922546.1,LOC120284218,LOC120284218,2R,NC_052521.2,17408320,17409704,minus,1.0,XP_044778481.1,"GD25297,GD25297-PA,GD25297-PB"
LOC120284219,LOC120284219,uncharacterized LOC120284219,PROTEIN_CODING,1.0,XM_039297049.2,LOC120284219,LOC120284219,2L,NC_052520.2,18695958,18696789,plus,1.0,XP_039152983.1,-
LOC120284220,LOC120284220,histone H1-like,PSEUDO,-,-,LOC120284220,LOC120284220,2L,NC_052520.2,21123895,21124872,plus,-,-,-
LOC120284221,LOC120284221,uncharacterized LOC120284221,PROTEIN_CODING,1.0,XM_039295023.2,LOC120284221,LOC120284221,3R,NC_052523.2,8671651,8672765,minus,1.0,XP_039150957.1,-
LOC120284222,LOC120284222,uncharacterized LOC120284222,PROTEIN_CODING,1.0,XM_039291744.2,LOC120284222,LOC120284222,2R,NC_052521.2,16692741,16694968,plus,1.0,XP_039147678.1,-
LOC120284223,LOC120284223,DNA-dependent metalloprotease SPRTN-like,PSEUDO,-,-,LOC120284223,LOC120284223,X,NC_052525.2,14911449,14914012,minus,-,-,-
LOC120284224,LOC120284224,uncharacterized LOC120284224,PROTEIN_CODING,1.0,XM_039296310.2,LOC120284224,LOC120284224,X,NC_052525.2,8624476,8629853,minus,1.0,XP_039152244.1,-
LOC120284226,LOC120284226,uncharacterized LOC120284226,ncRNA,1.0,XR_005543423.2,LOC120284226,LOC120284226,2L,NC_052520.2,10249478,10250536,minus,-,-,-
LOC120284227,LOC120284227,uncharacterized LOC120284227,ncRNA,1.0,XR_005543424.2,LOC120284227,LOC120284227,2L,NC_052520.2,10246255,10247074,minus,-,-,-
LOC120284228,LOC120284228,uncharacterized LOC120284228,ncRNA,1.0,XR_005543425.1,LOC120284228,LOC120284228,2L,NC_052520.2,8634729,8643125,plus,-,-,-
LOC120284229,LOC120284229,uncharacterized LOC120284229,ncRNA,1.0,XR_005543426.2,LOC120284229,LOC120284229,2L,NC_052520.2,8656793,8657560,plus,-,-,-
LOC120284230,LOC120284230,vacuolar protein sorting-associated protein 41 homolog,PROTEIN_CODING,3.0,XM_039290984.2,LOC120284230,LOC120284230,2L,NC_052520.2,22904579,22907304,plus,2.0,XP_039146918.2,-
LOC120284231,LOC120284231,uncharacterized LOC120284231,ncRNA,1.0,XR_005543435.2,LOC120284231,LOC120284231,2L,NC_052520.2,12139901,12142056,minus,-,-,-
LOC120284232,LOC120284232,uncharacterized LOC120284232,ncRNA,1.0,XR_005543439.2,LOC120284232,LOC120284232,2L,NC_052520.2,21522040,21523096,plus,-,-,-
LOC120284233,LOC120284233,facilitated trehalose transporter Tret1,PROTEIN_CODING,1.0,XM_039291010.2,LOC120284233,LOC120284233,2L,NC_052520.2,3318337,3320269,plus,1.0,XP_039146944.1,-
LOC120284234,LOC120284234,uncharacterized LOC120284234,PROTEIN_CODING,1.0,XM_039291025.2,LOC120284234,LOC120284234,2L,NC_052520.2,10843334,10850910,minus,1.0,XP_039146959.1,-
LOC120284236,LOC120284236,uncharacterized LOC120284236,ncRNA,1.0,XR_005543445.2,LOC120284236,LOC120284236,2L,NC_052520.2,21339266,21351256,minus,-,-,-
LOC120284237,LOC120284237,uncharacterized LOC120284237,ncRNA,1.0,XR_005543446.1,LOC120284237,LOC120284237,2L,NC_052520.2,12235401,12244217,minus,-,-,-
LOC120284238,LOC120284238,uncharacterized LOC120284238,ncRNA,1.0,XR_005543448.1,LOC120284238,LOC120284238,2L,NC_052520.2,6353727,6354324,minus,-,-,-
LOC120284239,LOC120284239,uncharacterized LOC120284239,ncRNA,2.0,XR_005543449.1,LOC120284239,LOC120284239,2L,NC_052520.2,9485058,9486097,minus,-,-,-
LOC120284240,LOC120284240,uncharacterized LOC120284240,PROTEIN_CODING,1.0,XM_039291137.1,LOC120284240,LOC120284240,2L,NC_052520.2,34804,37639,minus,1.0,XP_039147071.1,-
LOC120284241,LOC120284241,uncharacterized LOC120284241,ncRNA,1.0,XR_005543452.2,LOC120284241,LOC120284241,2L,NC_052520.2,36203,37360,minus,-,-,-
LOC120284244,LOC120284244,uncharacterized LOC120284244,ncRNA,1.0,XR_005543459.2,LOC120284244,LOC120284244,2L,NC_052520.2,38878,41730,plus,-,-,-
LOC120284245,LOC120284245,uncharacterized LOC120284245,ncRNA,1.0,XR_005543462.2,LOC120284245,LOC120284245,2L,NC_052520.2,14742179,14743260,plus,-,-,-
LOC120284246,LOC120284246,male accessory gland serine protease inhibitor,PROTEIN_CODING,1.0,XM_039291152.2,LOC120284246,LOC120284246,2L,NC_052520.2,3690368,3690943,plus,1.0,XP_039147086.1,-
LOC120284247,LOC120284247,uncharacterized LOC120284247,ncRNA,1.0,XR_005543464.2,LOC120284247,LOC120284247,2L,NC_052520.2,3690778,3691532,minus,-,-,-
LOC120284249,LOC120284249,uncharacterized LOC120284249,ncRNA,2.0,XR_005543470.2,LOC120284249,LOC120284249,2L,NC_052520.2,241677,243657,minus,-,-,-
LOC120284250,LOC120284250,uncharacterized LOC120284250,ncRNA,1.0,XR_005543472.1,LOC120284250,LOC120284250,2L,NC_052520.2,108439,115323,minus,-,-,-
LOC120284251,LOC120284251,uncharacterized LOC120284251,ncRNA,1.0,XR_005543473.2,LOC120284251,LOC120284251,2L,NC_052520.2,195465,196185,minus,-,-,-
LOC120284253,LOC120284253,uncharacterized LOC120284253,PROTEIN_CODING,1.0,XM_039291251.2,LOC120284253,LOC120284253,2L,NC_052520.2,22026994,22028707,plus,1.0,XP_039147185.1,-
LOC120284254,LOC120284254,uncharacterized LOC120284254,PROTEIN_CODING,1.0,XM_039291268.1,LOC120284254,LOC120284254,2L,NC_052520.2,16192761,16194924,plus,1.0,XP_039147202.1,-
LOC120284255,LOC120284255,uncharacterized LOC120284255,ncRNA,2.0,XR_005543487.1,LOC120284255,LOC120284255,2L,NC_052520.2,19308071,19311600,plus,-,-,-
LOC120284256,LOC120284256,uncharacterized LOC120284256,ncRNA,1.0,XR_005543489.2,LOC120284256,LOC120284256,2L,NC_052520.2,18630114,18630995,plus,-,-,-
LOC120284257,LOC120284257,uncharacterized LOC120284257,ncRNA,1.0,XR_005543491.2,LOC120284257,LOC120284257,2L,NC_052520.2,18608245,18609036,plus,-,-,-
LOC120284258,LOC120284258,probable G-protein coupled receptor CG31760,PROTEIN_CODING,1.0,XM_039291285.2,LOC120284258,LOC120284258,2L,NC_052520.2,12044765,12046506,plus,1.0,XP_039147219.1,-
LOC120284259,LOC120284259,U1 spliceosomal RNA,snRNA,1.0,XR_005543492.1,LOC120284259,LOC120284259,2L,NC_052520.2,952554,952718,minus,-,-,-
LOC120284260,LOC120284260,U2 spliceosomal RNA,snRNA,1.0,XR_005543493.1,LOC120284260,LOC120284260,2L,NC_052520.2,13086508,13086703,minus,-,-,-
LOC120284261,LOC120284261,U4 spliceosomal RNA,snRNA,1.0,XR_005543494.1,LOC120284261,LOC120284261,2L,NC_052520.2,20874473,20874612,minus,-,-,-
LOC120284262,LOC120284262,U4 spliceosomal RNA,snRNA,1.0,XR_005543495.1,LOC120284262,LOC120284262,2L,NC_052520.2,19509789,19509928,plus,-,-,-
LOC120284263,LOC120284263,U4 spliceosomal RNA,snRNA,1.0,XR_005543496.1,LOC120284263,LOC120284263,2L,NC_052520.2,5537183,5537327,plus,-,-,-
LOC120284264,LOC120284264,U5 spliceosomal RNA,snRNA,1.0,XR_005543497.1,LOC120284264,LOC120284264,2L,NC_052520.2,19511004,19511128,minus,-,-,-
LOC120284265,LOC120284265,U5 spliceosomal RNA,snRNA,1.0,XR_005543498.1,LOC120284265,LOC120284265,2L,NC_052520.2,19516292,19516415,plus,-,-,-
LOC120284266,LOC120284266,U5 spliceosomal RNA,snRNA,1.0,XR_005543499.1,LOC120284266,LOC120284266,2L,NC_052520.2,3049274,3049392,plus,-,-,-
LOC120284267,LOC120284267,U5 spliceosomal RNA,snRNA,1.0,XR_005543500.1,LOC120284267,LOC120284267,2L,NC_052520.2,15503663,15503776,minus,-,-,-
LOC120284268,LOC120284268,U5 spliceosomal RNA,snRNA,1.0,XR_005543501.1,LOC120284268,LOC120284268,2L,NC_052520.2,13086989,13087102,plus,-,-,-
LOC120284269,LOC120284269,small nucleolar RNA SNORD53/SNORD92,snoRNA,1.0,XR_005543502.1,LOC120284269,LOC120284269,2L,NC_052520.2,6883361,6883433,minus,-,-,-
