NCBI_GeneID,Gene_Type,Ortholog_Num,Dmel ID,Type,Result Type
LOC120284189,PROTEIN_CODING,1.0,['LOC326173'],[1],1
LOC120284190,PROTEIN_CODING,1.0,['LOC10178847'],[1],1
LOC120284191,PROTEIN_CODING,1.0,['LOC8674039'],[1],1
LOC120284192,PROTEIN_CODING,1.0,['LOC37478'],[1],1
LOC120284193,PROTEIN_CODING,1.0,['LOC2768923'],[1],1
LOC120284195,PROTEIN_CODING,1.0,['LOC19834845'],[1],1
LOC120284196,PROTEIN_CODING,1.0,['LOC12798539'],[1],1
LOC120284197,PROTEIN_CODING,1.0,['LOC4379907'],[1],1
LOC120284198,PROTEIN_CODING,1.0,['LOC3772375'],[1],1
LOC120284199,PROTEIN_CODING,1.0,['LOC8674088'],[1],1
LOC120284200,PROTEIN_CODING,1.0,['LOC38610'],[1],1
LOC120284201,PROTEIN_CODING,1.0,['LOC14462836'],[1],1
LOC120284202,PROTEIN_CODING,1.0,['LOC39224'],[1],1
LOC120284203,PROTEIN_CODING,1.0,['LOC10178870'],[1],1
LOC120284204,PROTEIN_CODING,1.0,['LOC2768665'],[1],1
LOC120284205,PROTEIN_CODING,1.0,['LOC43357'],[1],1
LOC120284206,PROTEIN_CODING,1.0,['LOC3355134'],[1],1
LOC120284207,PROTEIN_CODING,1.0,['LOC19835504'],[1],1
LOC120284208,PROTEIN_CODING,1.0,['LOC32566'],[1],1
LOC120284210,PROTEIN_CODING,1.0,['LOC41616'],[1],1
LOC120284211,PROTEIN_CODING,1.0,['LOC12798207'],[1],1
LOC120284212,PROTEIN_CODING,1.0,['LOC33334'],[1],1
LOC120284214,PROTEIN_CODING,1.0,['LOC43820'],[1],1
LOC120284215,PROTEIN_CODING,1.0,['LOC32649'],[1],1
LOC120284217,PROTEIN_CODING,1.0,['LOC8674042'],"[1, 2]",1
LOC120284218,PROTEIN_CODING,1.0,['LOC37283'],[1],1
LOC120284219,PROTEIN_CODING,1.0,['LOC19835256'],[1],1
LOC120284233,PROTEIN_CODING,1.0,['LOC33548'],[1],1
LOC120284239,ncRNA,1.0,['LOC14462732'],[1],1
LOC120284246,PROTEIN_CODING,1.0,['LOC8674117'],[1],1
LOC120284261,snRNA,1.0,['LOC3772712'],[1],1
LOC120284262,snRNA,1.0,['LOC3772477'],[1],1
LOC120284263,snRNA,1.0,['LOC3772678'],[1],1
LOC120284264,snRNA,1.0,['LOC3771824'],[1],1
LOC120284265,snRNA,1.0,['LOC3772339'],[1],1
LOC120284266,snRNA,1.0,['LOC3772228'],[1],1
LOC120284268,snRNA,1.0,['LOC3772634'],[1],1
LOC120284269,snoRNA,1.0,['LOC12798582'],[1],1
LOC120284270,snRNA,1.0,['LOC3772126'],"[2, 2, 1]",1
LOC120284279,snRNA,1.0,['LOC3772523'],[1],1
LOC120284280,snoRNA,1.0,['LOC3772422'],[1],1
LOC120284281,snRNA,1.0,['LOC3772126'],"[2, 1, 2]",1
LOC120284282,ncRNA,1.0,['LOC12798032'],[1],1
LOC120284326,PROTEIN_CODING,1.0,['LOC246535'],[1],1
LOC120284336,PROTEIN_CODING,1.0,['LOC2768725'],"[1, 2]",1
LOC120284337,PROTEIN_CODING,1.0,['LOC36099'],"[1, 2]",1
LOC120284339,PROTEIN_CODING,1.0,['LOC3885603'],[1],1
LOC120284354,PROTEIN_CODING,1.0,['LOC3355011'],"[1, 2]",1
LOC120284358,PROTEIN_CODING,1.0,['LOC54520445'],[1],1
LOC120284364,PROTEIN_CODING,1.0,['LOC36216'],[1],1
LOC120284384,PROTEIN_CODING,1.0,['LOC10178908'],[1],1
LOC120284388,ncRNA,1.0,['LOC19834916'],[1],1
LOC120284396,ncRNA,1.0,['LOC12798451'],[1],1
LOC120284407,PROTEIN_CODING,1.0,['LOC12798466'],[1],1
LOC120284411,PROTEIN_CODING,1.0,['LOC19834768'],[1],1
LOC120284415,ncRNA,1.0,['LOC19835108'],[1],1
LOC120284423,ncRNA,1.0,['LOC19834874'],[1],1
LOC120284425,PROTEIN_CODING,1.0,['LOC37093'],"[1, 2]",1
LOC120284426,PROTEIN_CODING,1.0,['LOC37094'],"[1, 2]",1
LOC120284430,ncRNA,1.0,['LOC3771755'],[1],1
LOC120284433,PROTEIN_CODING,1.0,['LOC39877389'],[1],1
LOC120284436,PROTEIN_CODING,1.0,['LOC30522408'],[1],1
LOC120284440,PROTEIN_CODING,1.0,['LOC35938'],[1],1
LOC120284441,PROTEIN_CODING,1.0,['LOC35932'],[1],1
LOC120284444,PROTEIN_CODING,1.0,['LOC12798406'],[1],1
LOC120284448,PROTEIN_CODING,1.0,['LOC54520437'],[1],1
LOC120284451,PROTEIN_CODING,1.0,['LOC37454'],[1],1
LOC120284455,ncRNA,1.0,['LOC3771726'],[1],1
LOC120284459,ncRNA,1.0,['LOC14462569'],[1],1
LOC120284462,PROTEIN_CODING,1.0,['LOC14462597'],[1],1
LOC120284467,ncRNA,1.0,['LOC19836064'],[1],1
LOC120284478,ncRNA,1.0,['LOC19835573'],[1],1
LOC120284485,PROTEIN_CODING,1.0,['LOC54520436'],[1],1
LOC120284486,PROTEIN_CODING,1.0,['LOC37183'],[1],1
LOC120284489,ncRNA,1.0,['LOC19834935'],[1],1
LOC120284515,snoRNA,1.0,['LOC3772500'],[1],1
