Dmel,E_value,Score,query cover,identity,Dsim
NM_001007095.3,0.0,10346.0,96,97.33,XM_016169226.3
NM_001014453.2,0.0,6410.0,96,96.062,XM_016179343.3
NM_001014456.1,0.0,1679.0,100,92.765,XM_016183530.1
NM_001014458.5,0.0,4673.0,100,97.051,XM_016179190.3
NM_001014460.3,0.0,2992.0,68,97.345,XM_016179421.3
NM_001014461.2,0.0,2030.0,92,96.952,XM_016179164.3
NM_001014488.2,0.0,699.0,85,85.57,XM_016183065.3
NM_001014489.2,0.0,891.0,89,94.464,XM_002079883.4
NM_001014490.2,0.0,808.0,100,92.705,XM_002079884.4
NM_001014491.2,0.0,3773.0,99,95.236,XM_002079915.4
NM_001014492.2,0.0,2006.0,100,95.673,XM_016177997.3
NM_001014493.3,0.0,2340.0,97,94.426,XM_002080073.4
NM_001014494.2,0.0,1938.0,91,94.072,XM_016177996.3
NM_001014495.2,0.0,2435.0,93,97.737,XM_002080075.4
NM_001014498.3,0.0,3995.0,84,96.424,XM_039298657.2
NM_001014501.3,0.0,1040.0,70,96.361,XM_002080387.4
NM_001014504.3,0.0,6370.0,99,97.757,XM_016182754.3
NM_001014505.2,0.0,1626.0,98,92.121,XM_016167276.3
NM_001014513.2,0.0,5325.0,99,97.262,XM_002080613.4
NM_001014522.2,0.0,1090.0,90,98.086,XM_002081284.4
NM_001014525.3,0.0,3446.0,85,96.464,XM_016182125.3
NM_001014528.3,0.0,1629.0,99,94.294,XM_002081524.4
NM_001014529.3,0.0,2726.0,99,95.863,XM_002081525.4
NM_001014530.1,7.9e-161,566.0,85,91.304,XM_044922479.1
NM_001014531.1,0.0,893.0,100,92.846,XM_002081743.4
NM_001014532.3,0.0,745.0,100,90.603,XM_016181791.2
NM_001014533.2,0.0,763.0,99,93.282,XM_002081783.4
NM_001014548.2,0.0,1895.0,83,96.986,XM_039292113.2
NM_001014551.3,5.34e-55,213.0,36,100.0,XR_006541561.1
NM_001014557.2,0.0,3856.0,100,95.891,XM_016170236.2
NM_001014558.3,0.0,1731.0,97,96.555,XM_002083592.4
NM_001014560.2,0.0,2191.0,29,98.324,XM_016170208.3
NM_001014576.2,0.0,5869.0,97,96.379,XM_039294034.2
NM_001014577.2,0.0,3757.0,99,95.833,XM_002084127.4
