,NCBI_GeneID,Type,Dmel ID
0,LOC120284189,"[1, 1, 1]","['LOC326173', 'LOC3885607', 'LOC14462701']"
1,LOC120284192,"[1, 1]","['LOC37478', 'LOC8674071']"
2,LOC120284193,[1],['LOC2768923']
3,LOC120284195,[1],['LOC19834845']
4,LOC120284196,[1],['LOC12798539']
5,LOC120284200,"[1, 1]","['LOC38610', 'LOC54520448']"
6,LOC120284204,"[1, 1]","['LOC2768665', 'LOC54520435']"
7,LOC120284206,[1],['LOC3355134']
8,LOC120284207,"[1, 1]","['LOC19835504', 'LOC19836116']"
9,LOC120284208,"[1, 1]","['LOC30522401', 'LOC32566']"
10,LOC120284210,[1],['LOC41616']
11,LOC120284211,[1],['LOC12798207']
12,LOC120284212,[1],['LOC33334']
13,LOC120284214,[1],['LOC43820']
14,LOC120284215,[1],['LOC32649']
15,LOC120284217,"[2, 1]",['LOC8674042']
16,LOC120284218,[1],['LOC37283']
17,LOC120284219,[1],['LOC19835256']
18,LOC120284233,[1],['LOC33548']
19,LOC120284234,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]",['LOC14462345']
20,LOC120284239,[1],['LOC14462732']
21,LOC120284246,[1],['LOC8674117']
22,LOC120284261,[1],['LOC3772712']
23,LOC120284262,[1],['LOC3772477']
24,LOC120284263,[1],['LOC3772678']
25,LOC120284264,[1],['LOC3771824']
26,LOC120284265,[1],['LOC3772339']
27,LOC120284266,[1],['LOC3772228']
28,LOC120284268,[1],['LOC3772634']
29,LOC120284269,[1],['LOC12798582']
30,LOC120284270,"[2, 2, 1]",['LOC3772126']
31,LOC120284272,"[2, 2, 2, 1, 2, 1]","['LOC5740148', 'LOC5740376']"
32,LOC120284273,"[2, 2, 1, 2, 2, 1]","['LOC5740376', 'LOC5740148']"
33,LOC120284274,"[1, 2, 1, 2, 2, 2]","['LOC5740376', 'LOC5740148']"
34,LOC120284279,[1],['LOC3772523']
35,LOC120284280,[1],['LOC3772422']
36,LOC120284281,"[2, 1, 2]",['LOC3772126']
37,LOC120284282,[1],['LOC12798032']
38,LOC120284326,[1],['LOC246535']
39,LOC120284336,"[1, 2]",['LOC2768725']
40,LOC120284337,[1],['LOC36099']
41,LOC120284339,[1],['LOC3885603']
42,LOC120284347,[1],['LOC54520520']
43,LOC120284354,"[2, 1]",['LOC3355011']
44,LOC120284358,[1],['LOC54520445']
45,LOC120284361,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2]",['LOC14462345']
46,LOC120284364,[1],['LOC36216']
47,LOC120284384,[1],['LOC10178908']
48,LOC120284388,[1],['LOC19834916']
49,LOC120284396,[1],['LOC12798451']
50,LOC120284403,[1],['LOC33701']
51,LOC120284407,[1],['LOC12798466']
52,LOC120284411,[1],['LOC19834768']
53,LOC120284415,[1],['LOC19835108']
54,LOC120284423,[1],['LOC19834874']
55,LOC120284425,[1],['LOC37093']
56,LOC120284426,"[2, 1]",['LOC37094']
57,LOC120284430,[1],['LOC3771755']
58,LOC120284433,[1],['LOC39877389']
59,LOC120284436,"[1, 1]","['LOC36064', 'LOC30522408']"
60,LOC120284440,[1],['LOC35938']
61,LOC120284441,"[1, 1]","['LOC35932', 'LOC19835613']"
62,LOC120284444,[1],['LOC12798406']
63,LOC120284445,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2]",['LOC14462345']
64,LOC120284451,[1],['LOC37454']
65,LOC120284455,[1],['LOC3771726']
66,LOC120284459,[1],['LOC14462569']
67,LOC120284462,[1],['LOC14462597']
68,LOC120284467,[1],['LOC19836064']
69,LOC120284478,[1],['LOC19835573']
70,LOC120284484,[1],['LOC2768840']
71,LOC120284488,[1],['LOC246404']
72,LOC120284489,[1],['LOC19834935']
