NCBI GeneID,Transcript Accession,Transcript_length
31271,NM_057439.2,2352
31293,NM_057511.4,10150
34009,NM_078778.5,2919
33432,NM_164486.2,4230
36240,NM_165841.2,2792
31251,NM_080317.2,4527
3771877,NM_001032098.2,2080
31151,NM_134273.2,3220
42737,NM_001038976.1,2370
42034,NM_080504.4,4282
36039,NM_078946.4,1406
42313,NM_057916.4,5278
37455,NM_057411.4,6124
40830,NM_169159.4,2536
31000,NM_001258518.3,10506
45928,NM_001272660.2,4768
37386,NM_057374.3,6400
32083,NM_001103486.3,7249
32780,NM_167594.4,12181
40015,NM_079414.3,901
41032,NM_169233.2,3338
41605,NM_079613.3,4337
30980,NM_057444.3,2038
40009,NM_079412.4,4018
31364,NM_001272308.2,4893
40835,NM_206448.1,4902
44540,NM_001272381.2,11755
38012,NM_001274252.1,4411
44801,NM_001169459.1,1797
41140,NM_057351.5,1958
33571,NM_001414078.1,5931
39753,NM_001274988.1,2304
40834,NM_058150.3,1774
41363,NM_001260116.2,23486
47763,NM_001316542.1,8184
3354888,NM_001110878.4,6472
35540,NM_001169590.2,8415
35851,NM_078937.4,5521
43767,NM_001258473.1,5191
33529,NM_001273063.1,3262
42549,NM_079712.6,10706
35047,NM_165219.2,4724
43222,NM_079794.3,5129
34119,NM_164799.2,1109
33753,NM_175978.2,3616
40358,NM_079475.3,2462
37655,NM_001299823.1,2368
26067080,NM_001273529.2,2285
41066,NM_169248.4,2869
35007,NM_165190.4,7341
36810,NM_057242.5,3718
31521,NM_001297986.1,2863
3772180,NM_001031891.3,5964
38168,NM_001274326.1,3000
39251,NM_057387.5,735
30982,NM_057455.3,1438
42896,NM_001260355.2,7973
31248,NM_001042794.4,5004
42037,NM_001260216.2,5269
34881,NM_057520.4,2950
35977,NM_001414094.1,11924
45307,NM_080073.3,3817
33473,NM_001298639.1,5872
35097,NM_001103704.3,4084
41957,NM_001300425.1,4869
30981,NM_057476.3,917
38995,NM_001014577.2,2335
42297,NM_057310.4,2349
42367,NM_079683.3,1588
32078,NM_078563.3,2844
34924,NM_165124.3,3946
42428,NM_001275831.1,4200
31376,NM_001169190.2,7910
31554,NM_001298000.1,1403
41709,NM_206483.3,3939
36421,NM_001414091.1,3894
37618,NM_166555.3,2633
38146,NM_001274318.1,1805
39015,NM_001274671.2,4573
40848,NM_057424.4,1752
40940,NM_001300291.1,6941
44885,NM_001298070.1,4397
33156,NM_001258875.2,5528
38389,NM_001274433.1,2960
36775,NM_134308.3,2028
5740544,NM_001169161.3,22255
40287,NM_079463.3,2100
36993,NM_079054.5,5684
37973,NM_079133.2,3094
38419,NM_079177.4,387
41087,NM_057746.4,3499
48582,NM_080188.3,2347
31310,NM_001272275.1,9166
37851,NM_001043103.2,1525
47285,NM_057678.5,2996
34171,NM_057220.3,1718
37183,NM_057460.4,496
40958,NM_079549.3,2919
43466,NM_001276137.1,2747
34908,NM_057384.4,1668
44505,NM_001201596.3,9822
31309,NM_166968.3,11128
35253,NM_134291.5,1653
42226,NM_169818.2,8399
32039,NM_078559.3,8171
32406,NM_078601.4,9269
32619,NM_001298403.1,15578
36032,NM_206067.4,6040
2768981,NM_206356.3,4441
32703,NM_001042818.4,10439
42305,NM_169852.2,1896
47396,NM_001273498.1,7987
33196,NM_078719.4,4008
43193,NM_079793.3,680
43275,NM_001300629.1,5831
48581,NM_169441.2,2382
38872,NM_079240.3,4422
42757,NM_079737.3,4074
39849,NM_001014588.2,862
43812,NM_001014693.2,3462
40833,NM_079524.4,4140
43656,NM_079857.4,1965
47594,NM_001274055.1,4573
43229,NM_001276068.1,1169
44920,NM_080059.3,2375
31221,NM_001103397.3,4247
33916,NM_078768.4,3320
35717,NM_057414.4,3131
38746,NM_001300026.1,3806
33782,NM_001258964.2,3504
34263,NM_001273362.1,4395
35509,NM_165445.4,4114
39150,NM_079288.3,670
39340,NM_001259795.2,2916
2768677,NM_001170223.1,2095
32813,NM_080356.4,2642
34521,NM_057527.4,3073
37247,NM_001274163.1,2804
43651,NM_170524.2,5803
32080,NM_078564.3,5055
33418,NM_164477.3,2491
34569,NM_164966.3,6118
40048,NM_080483.3,1993
40650,NM_079511.5,1929
40975,NM_169213.2,1223
41625,NM_057605.5,7980
43517,NM_001300663.1,2720
43542,NM_001276161.1,4149
35190,NM_078876.5,2797
37528,NM_169324.2,4426
39173,NM_079293.4,2015
40014,NM_079413.3,1699
41740,NM_001260169.2,3682
43161,NM_079789.3,769
45328,NM_080079.3,2451
48583,NM_141952.2,2386
33059,NM_001298572.1,3145
41273,NM_057228.5,6557
41737,NM_134282.2,14052
42446,NM_001275841.1,4839
44448,NM_001170275.2,9438
33569,NM_057947.4,755
31227,NM_080310.3,1780
31816,NM_001258654.1,3064
38654,NM_001274521.1,4885
43769,NM_001258477.2,8472
32981,NM_001258833.3,2078
35225,NM_001273651.1,5242
32256,NM_001272572.2,5689
34284,NM_205950.3,5312
37065,NM_057403.4,5240
42501,NM_134310.3,1815
43256,NM_079802.3,2128
44921,NM_169469.2,2324
39203,NM_079297.3,2650
