NCBI GeneID,Protein Accession,Protein_length,Transcript Accession,Transcript_length
5740847,NP_001245442.1,585,NM_001258513.2,2028
5740235,NP_001284725.1,1404,NM_001297796.1,5089
3354987,NP_001284727.1,715,NM_001297798.1,4526
5740408,NP_001162627.1,990,NM_001169156.2,3791
30970,NP_569833.1,388,NM_130477.4,1731
30971,NP_001259088.1,1657,NM_001272159.1,7235
7354420,NP_001138136.1,92,NM_001144664.3,649
30973,NP_477030.1,601,NM_057682.4,2110
30972,NP_569835.1,330,NM_130479.3,1601
3346142,NP_001259091.1,204,NM_001272162.1,1196
30975,NP_001245444.1,843,NM_001258515.1,4051
30979,NP_001284733.1,879,NM_001297804.1,4130
30976,NP_001162628.1,306,NM_001169157.2,4823
30977,NP_569838.1,195,NM_130482.3,1055
30978,NP_525029.2,392,NM_080290.4,1188
318225,NP_001284737.1,378,NM_001297808.1,1834
12798292,NP_001245445.1,128,NM_001258516.2,568
12798293,NP_001245446.1,71,NM_001258517.1,251
30980,NP_476792.1,541,NM_057444.3,2038
30981,NP_476824.1,201,NM_057476.3,917
30982,NP_476803.1,345,NM_057455.3,1438
30983,NP_476623.1,257,NM_057275.5,1097
30984,NP_525030.1,407,NM_080291.4,1310
30985,NP_476694.1,486,NM_057346.5,2430
30986,NP_525031.1,556,NM_080292.4,2279
47141,NP_001284739.1,1054,NM_001297810.1,4163
30988,NP_001096858.1,177,NM_001103388.4,812
318226,NP_001259095.1,121,NM_001272166.1,837
30990,NP_001284740.1,121,NM_001297811.1,627
30991,NP_569843.2,1377,NM_130487.4,4342
30994,NP_569844.2,692,NM_130488.3,2345
30995,NP_569845.2,520,NM_130489.3,1950
30996,NP_001284741.1,127,NM_001297812.1,1344
30998,NP_996319.1,1439,NM_206596.2,5828
31000,NP_001245447.1,483,NM_001258518.3,10506
46717,NP_524875.1,351,NM_080136.3,1243
31001,NP_001033816.1,441,NM_001038727.1,1976
31002,NP_001245448.1,890,NM_001258519.1,6331
31003,NP_476786.2,723,NM_057438.4,3033
31004,NP_001284745.1,1094,NM_001297816.1,4725
31005,NP_569849.1,114,NM_130493.2,499
31006,NP_525034.2,200,NM_080295.3,1343
31007,NP_569850.1,304,NM_130494.4,1175
50364,NP_652500.1,64,NM_144243.2,387
47718,NP_652054.1,467,NM_143797.3,2256
31009,NP_726687.1,115,NM_166854.2,592
31010,NP_476593.2,1133,NM_057245.3,3680
31011,NP_477249.3,494,NM_057901.4,1631
31012,NP_476754.1,1325,NM_057406.4,4901
31013,NP_569851.2,408,NM_130495.2,1550
