NCBI_GeneID,Gene_Type,Ortholog_Num,Dmel ID,Type,Result Type
LOC120284209,ncRNA,0.0,-,[4],3
LOC120284213,PROTEIN_CODING,0.0,-,[2],3
LOC120284216,PROTEIN_CODING,0.0,-,[2],3
LOC120284220,PSEUDO,0.0,-,-,3
LOC120284221,PROTEIN_CODING,0.0,-,[2],3
LOC120284222,PROTEIN_CODING,0.0,-,[2],3
LOC120284223,PSEUDO,0.0,-,-,3
LOC120284224,PROTEIN_CODING,0.0,-,[2],3
LOC120284226,ncRNA,0.0,-,[2],3
LOC120284227,ncRNA,0.0,-,[2],3
LOC120284228,ncRNA,0.0,-,[4],3
LOC120284229,ncRNA,0.0,-,[4],3
LOC120284230,PROTEIN_CODING,0.0,-,[2],3
LOC120284231,ncRNA,0.0,-,[4],3
LOC120284232,ncRNA,0.0,-,[2],3
LOC120284234,PROTEIN_CODING,0.0,-,[4],3
LOC120284236,ncRNA,0.0,-,[2],3
LOC120284237,ncRNA,0.0,-,[4],3
LOC120284238,ncRNA,0.0,-,[4],3
LOC120284240,PROTEIN_CODING,0.0,-,[4],3
LOC120284241,ncRNA,0.0,-,[4],3
LOC120284244,ncRNA,0.0,-,[4],3
LOC120284245,ncRNA,0.0,-,[2],3
LOC120284247,ncRNA,0.0,-,[2],3
LOC120284249,ncRNA,0.0,-,[4],3
LOC120284250,ncRNA,0.0,-,[4],3
LOC120284251,ncRNA,0.0,-,[2],3
LOC120284253,PROTEIN_CODING,0.0,-,[4],3
LOC120284254,PROTEIN_CODING,0.0,-,[4],3
LOC120284255,ncRNA,0.0,-,[2],3
LOC120284256,ncRNA,0.0,-,[2],3
LOC120284257,ncRNA,0.0,-,[2],3
LOC120284258,PROTEIN_CODING,0.0,-,[2],3
LOC120284259,snRNA,0.0,-,"[2, 2, 2]",3
LOC120284260,snRNA,0.0,-,[2],3
LOC120284267,snRNA,0.0,-,"[2, 2]",3
LOC120284271,snoRNA,0.0,-,"[2, 2, 2, 2, 2, 2]",3
LOC120284275,snoRNA,0.0,-,"[2, 2, 2, 2, 2, 2]",3
LOC120284276,snoRNA,0.0,-,"[2, 2, 2, 2, 2, 2]",3
LOC120284277,snoRNA,0.0,-,"[2, 2, 2, 2, 2, 2]",3
