NCBI GeneID,Transcript Accession,Transcript_length
6732347,XM_016180148.3,958
6734902,XM_002081863.4,1265
6725632,XM_002106603.4,1382
6737787,XM_002084579.4,1719
27206595,XM_016181153.3,2233
6739897,XM_016180986.3,1997
6731127,XM_016178930.2,1107
6738353,XM_002085127.3,723
6724962,XM_002105962.4,2433
6732348,XM_039298660.2,992
6729868,XM_016174552.3,1200
6724920,XM_016173312.3,1809
6729693,XM_016177561.3,3046
6725576,XM_002106550.4,1557
6727070,XM_016175851.1,2891
6727219,XM_016176314.3,3156
6737625,XM_002084421.4,857
6740158,XM_002077000.4,5314
6731131,XM_002078253.4,2135
6728385,XM_016176848.2,918
6734869,XM_002081834.4,1618
6726541,XM_016174220.3,2467
6731126,XM_002078247.4,499
6730163,XM_002105418.3,571
6730164,XM_016174154.3,746
6734871,XM_039291298.1,1593
6727783,XM_039294541.2,2421
6730715,XM_039291277.2,4237
6732838,XM_002079915.4,2406
6725604,XM_016172778.3,4799
6728274,XM_039294980.2,4400
6728719,XM_002104019.3,407
6724768,XM_016173243.3,1501
6732777,XM_016178102.3,2087
6725392,XM_016172875.3,3614
6735394,XM_002082305.3,766
6728943,XM_002104235.3,649
6727008,XM_016175878.3,2553
6737325,XM_002084127.4,2360
6725342,XM_044923750.1,5591
6730162,XM_002105417.2,662
6728840,XM_002104138.4,3450
6730181,XM_002105436.4,1388
6737389,XM_039293550.2,8568
6729286,XM_016174848.3,6493
6734800,XM_002081767.4,1668
6738339,XM_002085113.4,2217
6740029,XM_039296536.2,3185
6736591,XM_016170758.2,2885
6730202,XM_002105451.4,373
6724720,XM_016180674.3,3527
6727559,XM_039295727.2,5836
6729369,XM_016177376.3,1289
6731504,XM_002078616.4,808
6725263,XM_016172915.3,1144
6727485,XM_016175570.3,2126
6726226,XM_016172451.3,4794
6731455,XM_016178686.3,1018
6725000,XM_039298055.2,9356
6734326,XM_002081313.4,942
6735393,XM_002082304.4,459
6728463,XM_016175156.3,731
6735802,XM_016168789.3,1929
6726041,XM_016172543.3,4187
6731979,XM_002079077.4,801
6727955,XM_016175375.3,1645
6729104,XM_002104389.4,2043
6729504,XM_016174750.3,3258
