Dsim,E_value,Score,query cover,identity,Dmel
XM_002076055.4,0.0,2972.0,98,98.069,NM_058024.4
XM_002076056.4,0.0,4549.0,97,96.874,NM_057313.5
XM_002076069.4,0.0,1212.0,83,94.311,NM_001316377.2
XM_002076076.4,0.0,1546.0,89,90.886,NM_144384.3
XM_002076080.4,0.0,3834.0,100,96.473,NM_134975.2
XM_002076084.4,0.0,4719.0,99,96.223,NM_135034.3
XM_002076089.4,0.0,2143.0,87,95.062,NM_164618.2
XM_002076096.4,0.0,8918.0,98,95.85,NM_135156.3
XM_002076107.4,0.0,1402.0,81,96.362,NM_135774.3
XM_002076118.4,0.0,1616.0,99,94.656,NM_136001.2
XM_002076124.3,0.0,2429.0,96,96.167,NM_001273690.1
XM_002076125.4,0.0,1027.0,95,96.178,NM_136180.4
XM_002076153.4,0.0,3703.0,99,94.392,NM_136421.3
XM_002076155.4,0.0,8896.0,99,97.294,NM_001299226.1
XM_002076157.4,0.0,2447.0,99,98.08,NM_001299228.1
XM_002076172.4,0.0,2100.0,100,96.675,NM_136463.2
XM_002076176.4,0.0,1834.0,39,94.529,NM_136475.4
XM_002076178.4,0.0,2071.0,98,97.161,NM_001259263.2
XM_002076187.4,0.0,2104.0,92,96.967,NM_057704.5
XM_002076201.4,0.0,929.0,96,90.974,NM_001103759.2
XM_002076202.4,0.0,3387.0,89,96.758,NM_057575.3
XM_002076204.4,0.0,741.0,82,92.927,NM_136525.2
XM_002076205.4,0.0,2030.0,94,96.145,NM_136526.2
XM_002076209.4,0.0,1410.0,93,93.836,NM_136528.2
XM_002076210.4,0.0,2453.0,99,92.907,"NM_001299266.1, NM_001299265.1"
XM_002076212.4,0.0,1559.0,93,95.142,"NM_001299266.1, NM_001299265.1"
XM_002076213.4,0.0,1260.0,99,93.632,NM_001103760.2
XM_002076216.3,0.0,1600.0,98,94.691,NM_136529.4
XM_002076217.4,0.0,1134.0,96,93.316,NM_136530.4
XM_002076219.4,0.0,2433.0,99,93.293,NM_136531.4
XM_002076221.4,0.0,2717.0,84,94.526,NM_080032.3
XM_002076234.4,0.0,1712.0,82,91.793,NM_136581.3
XM_002076242.4,0.0,1543.0,97,96.089,NM_136710.4
XM_002076245.4,0.0,1389.0,94,92.315,NM_057859.4
XM_002076247.4,0.0,1365.0,99,96.818,NM_001273949.1
XM_002076248.4,0.0,2427.0,96,95.087,NM_136787.2
XM_002076250.4,0.0,743.0,100,97.471,NM_001273948.1
XM_002076253.4,0.0,1253.0,97,94.568,NM_078970.4
XM_002076254.4,3.4000000000000004e-157,553.0,100,92.932,NM_136831.2
XM_002076255.4,0.0,1351.0,89,96.459,NM_078971.4
XM_002076257.4,0.0,1162.0,96,95.598,NM_136833.2
XM_002076258.4,0.0,1288.0,95,95.421,NM_080040.5
XM_002076259.4,0.0,2030.0,99,95.242,NM_165826.3
XM_002076260.4,0.0,798.0,85,93.186,NM_001038851.2
XM_002076263.4,0.0,848.0,92,91.352,NM_001299403.1
XM_002076266.4,0.0,944.0,71,96.2,NM_001169653.2
XM_002076271.4,0.0,1201.0,93,95.845,NM_165866.3
XM_002076272.4,0.0,658.0,97,95.0,NM_136894.3
XM_002076273.2,0.0,2604.0,94,93.572,NM_001299405.1
XM_002076278.4,0.0,2078.0,24,94.572,"NM_136896.2, NM_001038852.1"
XM_002076279.4,0.0,710.0,99,94.433,NM_078984.4
XM_002076282.3,0.0,3075.0,87,94.623,NM_136900.2
XM_002076288.4,0.0,667.0,92,97.927,NM_136904.3
XM_002076292.4,0.0,926.0,98,93.831,NM_165988.2
XM_002076293.4,0.0,1317.0,97,95.096,NM_137030.3
XM_002076319.3,0.0,948.0,79,96.2,NM_137257.1
XM_002076320.4,0.0,915.0,99,91.916,NM_137258.3
XM_002076325.4,0.0,1105.0,87,97.523,NM_137354.2
XM_002076327.4,0.0,1291.0,97,89.354,NM_137406.3
XM_002076332.3,0.0,773.0,94,91.537,NM_001299637.1
XM_002076339.4,0.0,913.0,99,95.009,NM_001299690.1
XM_002076343.4,0.0,1129.0,83,94.536,NM_137785.3
XM_002076345.4,0.0,1724.0,85,94.865,NM_079968.3
XM_002076346.4,0.0,2588.0,99,94.985,NM_137802.4
XM_002076357.4,0.0,1618.0,70,91.574,NM_137914.2
XM_002076359.4,0.0,904.0,95,97.191,NM_137961.3
XM_002076372.4,0.0,667.0,95,91.463,NM_138038.2
XM_002076395.4,0.0,806.0,95,95.294,NM_001273770.2
XM_002076403.4,0.0,3323.0,90,92.73,NM_001299205.1
XM_002076410.4,0.0,2115.0,96,94.408,NM_001042961.3
XM_002076446.4,0.0,1467.0,95,96.309,NM_001015387.3
XM_002076452.3,0.0,1777.0,98,92.326,NM_138195.2
XM_002076453.4,0.0,1796.0,99,96.269,NM_138202.4
XM_002076454.4,0.0,750.0,93,95.339,NM_057481.4
XM_002076456.4,0.0,2135.0,92,94.08,NM_001274338.1
XM_002076457.4,0.0,2248.0,98,92.666,"NM_001031927.2, NM_001031929.2"
XM_002076462.4,0.0,2010.0,97,96.055,NM_001274342.1
XM_002076463.4,0.0,2852.0,100,94.945,NM_001274350.1
XM_002076468.4,0.0,1338.0,97,96.098,NM_168001.2
XM_002076470.4,0.0,2405.0,97,94.842,NM_133165.2
XM_002076471.4,0.0,2433.0,92,96.531,NM_001144411.1
XM_002076472.4,0.0,881.0,94,95.956,NM_001274453.1
XM_002076473.4,0.0,2479.0,97,95.885,NM_139578.3
XM_002076480.3,0.0,887.0,91,96.296,NM_139818.3
XM_002076483.4,0.0,1247.0,99,88.591,NM_168261.3
XM_002076489.4,0.0,4446.0,99,96.254,NM_140156.3
XM_002076493.3,4.6e-121,433.0,87,90.854,NM_057370.2
XM_002076496.4,0.0,2765.0,98,93.145,"NM_001316464.1, NM_001316434.1"
XM_002076498.4,0.0,1194.0,85,92.2,NM_140261.2
XM_002076499.4,0.0,2252.0,98,96.549,NM_140324.3
XM_002076503.4,0.0,804.0,93,91.4,NM_001042844.2
XM_002076504.4,0.0,2564.0,36,91.354,NM_140407.2
XM_002076508.4,0.0,904.0,80,94.991,NM_001202182.1
XM_002076509.3,0.0,1519.0,88,96.711,NM_001038931.2
XM_002076513.4,0.0,2329.0,95,95.595,NM_140578.2
XM_002076515.3,0.0,3384.0,99,96.28,NM_168692.4
XM_002076517.4,0.0,1042.0,93,95.282,NM_140743.2
XM_002076520.3,0.0,2566.0,99,96.693,NM_140771.3
XM_002076523.4,0.0,1382.0,90,94.904,NM_141013.2
XM_002076524.4,0.0,5168.0,98,95.123,NM_001300206.1
XM_002076527.4,0.0,2165.0,98,92.392,NM_001275266.1
XM_002076540.4,0.0,1330.0,97,97.103,NM_143295.4
XM_002076544.4,0.0,1598.0,77,96.954,NM_143299.3
XM_002076547.4,1.59e-110,398.0,74,93.633,NM_142625.2
XM_002076552.4,0.0,2636.0,59,90.786,NM_141253.2
XM_002076555.4,0.0,1149.0,57,92.57,NM_141533.4
XM_002076557.4,0.0,5280.0,85,96.657,NM_169233.2
XM_002076567.4,0.0,876.0,88,90.208,NM_001032003.2
XM_002076581.4,0.0,804.0,41,91.472,NM_142114.3
XM_002076582.4,0.0,638.0,75,89.443,NM_142115.2
XM_002076584.4,0.0,667.0,37,91.77,NM_169585.2
XM_002076591.4,0.0,3585.0,97,96.791,NM_169656.2
XM_002076594.4,0.0,4218.0,99,97.494,NM_142339.3
XM_002076597.4,0.0,1552.0,86,95.228,NM_169772.3
XM_002076598.4,0.0,706.0,95,93.644,NM_169773.3
XM_002076599.4,0.0,1319.0,89,93.665,NM_169774.3
XM_002076610.4,0.0,1844.0,95,95.951,NM_079684.4
XM_002076613.4,3.81e-172,603.0,82,97.45,NM_001316505.1
XM_002076615.4,0.0,2560.0,96,92.51,NM_169993.1
XM_002076616.2,0.0,2294.0,100,89.955,NM_169994.2
XM_002076620.2,4.6e-102,370.0,74,85.92,NM_142855.2
XM_002076621.4,0.0,985.0,64,93.165,NM_142856.1
XM_002076622.4,0.0,2649.0,95,95.849,NM_142890.2
XM_002076624.4,0.0,2579.0,96,97.424,NM_143009.2
