NCBI GeneID,Protein Accession,Protein_length
31271,NP_476787.1,687
31293,NP_001245510.1,2703
31293,NP_476859.2,2703
34009,NP_523502.1,468
33432,NP_477311.1,588
33432,NP_722810.1,588
33432,NP_722811.1,588
33432,NP_722813.1,588
36240,NP_523700.2,552
36240,NP_725059.1,552
31251,NP_001259194.1,1218
31251,NP_525056.2,1218
3771877,NP_001027266.1,256
3771877,NP_001027267.1,256
3771877,NP_001027268.1,256
3771877,NP_001027269.1,256
3771877,NP_001027270.1,256
31151,NP_001259149.1,843
31151,NP_476665.2,843
31151,NP_476666.1,843
31151,NP_599100.1,843
31151,NP_726775.2,721
31151,NP_996328.1,843
42737,NP_001034065.1,471
42034,NP_536748.1,346
42034,NP_536752.1,389
42034,NP_732171.1,363
42034,NP_732172.1,380
42034,NP_732173.1,372
42034,NP_996219.1,355
36039,NP_523670.2,376
42313,NP_001247193.1,833
42313,NP_477264.1,833
42313,NP_732412.1,833
37455,NP_476758.1,1377
37455,NP_476759.1,1426
40830,NP_476825.1,149
40830,NP_731111.1,489
40830,NP_731113.2,418
40830,NP_788587.1,494
40830,NP_788588.1,413
31000,NP_001014713.1,479
31000,NP_001138142.1,479
31000,NP_001245447.1,483
31000,NP_525033.1,483
45928,NP_001036278.1,830
45928,NP_001036279.1,830
45928,NP_001162766.1,877
45928,NP_001162767.1,883
45928,NP_001162768.1,836
45928,NP_001259588.1,896
45928,NP_001259589.1,834
45928,NP_001285306.1,881
45928,NP_524853.2,830
45928,NP_727910.1,877
45928,NP_727911.1,830
45928,NP_996465.1,877
45928,NP_996466.1,877
45928,NP_996467.1,830
45928,NP_996468.1,830
37386,NP_476722.1,1507
32083,NP_001096955.1,911
32083,NP_001096956.1,946
32083,NP_001162718.1,1030
32083,NP_001162719.1,960
32083,NP_001162720.1,206
32083,NP_001245622.1,983
32083,NP_001245623.1,975
32083,NP_001259446.1,1001
32083,NP_001259447.1,960
32083,NP_001259448.1,943
32083,NP_001259449.1,198
32083,NP_511120.2,960
32083,NP_727518.1,208
32083,NP_727519.1,816
32083,NP_727520.1,968
32083,NP_996402.1,208
32083,NP_996403.1,208
32083,NP_996404.1,911
32083,NP_996405.1,975
32083,NP_996406.1,970
32083,NP_996407.1,960
32780,NP_001162788.1,304
32780,NP_001188668.1,643
32780,NP_001245726.1,297
32780,NP_001245727.1,644
32780,NP_001259664.1,337
32780,NP_001259665.2,616
32780,NP_001259666.2,604
32780,NP_001303569.1,655
32780,NP_001401061.1,587
32780,NP_001401062.1,626
32780,NP_523393.3,616
32780,NP_728120.1,571
32780,NP_728122.1,643
32780,NP_728123.1,655
32780,NP_728124.1,304
32780,NP_996497.1,349
32780,NP_996498.2,643
40015,NP_524138.1,65
41032,NP_731267.1,758
41032,NP_731268.1,758
41605,NP_524337.1,1335
30980,NP_476792.1,541
40009,NP_001262010.1,410
40009,NP_524136.2,410
31364,NP_001259235.1,844
31364,NP_001259237.1,859
31364,NP_001284854.1,885
31364,NP_001284855.1,832
31364,NP_525066.1,873
31364,NP_726911.1,773
31364,NP_726912.1,811
40835,NP_001368996.1,365
40835,NP_996166.1,361
40835,NP_996167.1,378
40835,NP_996168.1,378
40835,NP_996169.1,365
40835,NP_996170.1,378
40835,NP_996171.1,374
40835,NP_996172.1,365
40835,NP_996173.1,361
40835,NP_996174.1,374
40835,NP_996175.1,378
40835,NP_996176.1,297
44540,NP_001245565.1,2165
44540,NP_001259310.1,2174
44540,NP_524764.1,2175
38012,NP_001261181.1,502
38012,NP_523867.1,502
44801,NP_001162930.1,372
44801,NP_001162932.1,372
44801,NP_723541.1,372
41140,NP_476699.1,189
33571,NP_001014463.2,1099
33571,NP_001033872.2,1131
33571,NP_001137780.2,1366
33571,NP_001137781.2,891
33571,NP_001188686.2,890
33571,NP_001334730.1,1421
33571,NP_001400990.1,1365
33571,NP_722912.3,1398
33571,NP_722913.3,1397
33571,NP_722914.3,1398
39753,NP_001261916.1,438
39753,NP_001261917.1,438
39753,NP_001261918.1,438
39753,NP_524101.2,438
39753,NP_730097.1,438
39753,NP_730098.1,438
40834,NP_477498.1,410
41363,NP_001247044.1,1674
41363,NP_001247045.1,1835
41363,NP_001247046.1,1703
41363,NP_524317.4,1403
41363,NP_731565.4,1535
41363,NP_788636.3,1374
47763,NP_001262648.1,323
47763,NP_001303471.1,270
47763,NP_001303472.1,493
47763,NP_001303473.1,286
47763,NP_001303474.1,270
47763,NP_524896.2,493
47763,NP_650577.1,270
47763,NP_732180.1,270
47763,NP_732181.1,270
47763,NP_996220.1,270
3354888,NP_001015121.3,331
3354888,NP_001015122.1,376
3354888,NP_001015123.1,376
3354888,NP_001104348.2,266
3354888,NP_001104349.1,376
3354888,NP_001104350.1,190
3354888,NP_001287635.1,376
35540,NP_001163061.1,878
35540,NP_724456.1,849
35540,NP_724457.1,849
35540,NP_724458.1,849
35540,NP_724459.1,669
35540,NP_724460.1,878
35851,NP_523661.2,1286
43767,NP_001245401.1,572
43767,NP_001245402.1,1279
43767,NP_524617.3,1397
33529,NP_001259992.1,525
33529,NP_477017.1,455
42549,NP_001138093.1,2144
42549,NP_001138094.1,2144
42549,NP_001138095.1,2144
42549,NP_524436.2,2144
35047,NP_001163000.1,677
35047,NP_001163001.1,677
35047,NP_001286014.1,999
35047,NP_724052.1,677
35047,NP_724053.1,677
35047,NP_724054.1,999
43222,NP_001262995.1,1117
43222,NP_524518.1,1097
43222,NP_733166.1,1097
34119,NP_476755.1,206
34119,NP_723361.1,206
33753,NP_787989.1,563
33753,NP_787990.1,575
33753,NP_787991.1,531
33753,NP_787992.1,509
40358,NP_524199.1,390
37655,NP_001033967.1,490
37655,NP_001286752.1,490
37655,NP_523816.2,490
26067080,NP_001260458.1,661
26067080,NP_001303322.1,661
26067080,NP_723899.1,661
41066,NP_731295.1,606
41066,NP_996186.1,468
35007,NP_001162990.1,1949
35007,NP_001162991.1,1962
35007,NP_001162992.1,1949
35007,NP_001246048.1,1962
35007,NP_001246049.1,1962
35007,NP_001246050.1,1962
35007,NP_001246051.1,1949
35007,NP_001303327.1,1962
35007,NP_523587.4,1962
35007,NP_723999.1,1962
35007,NP_724000.1,1962
35007,NP_724001.1,1962
35007,NP_724002.2,1962
35007,NP_724003.1,1962
35007,NP_724004.1,1962
35007,NP_724005.1,1962
35007,NP_724006.1,1962
35007,NP_724007.1,1962
35007,NP_724008.1,1936
35007,NP_724009.1,1936
35007,NP_724010.1,1936
36810,NP_476590.1,975
31521,NP_001014725.1,376
31521,NP_001014726.1,376
31521,NP_001284915.1,376
31521,NP_511052.1,376
31521,NP_727048.1,376
3772180,NP_001027062.1,364
3772180,NP_001027063.1,344
3772180,NP_001027064.1,48
3772180,NP_001027065.1,354
3772180,NP_001027066.1,42
3772180,NP_001162686.1,352
3772180,NP_001162687.1,42
3772180,NP_001162688.1,342
3772180,NP_001162689.1,322
3772180,NP_001162690.1,354
3772180,NP_001259303.1,722
3772180,NP_001259304.1,708
3772180,NP_001259305.1,42
3772180,NP_001259306.1,48
3772180,NP_001303551.1,331
3772180,NP_524791.3,344
3772180,NP_727160.2,346
3772180,NP_727161.3,344
3772180,NP_727162.2,354
3772180,NP_727163.2,314
3772180,NP_727164.2,366
3772180,NP_727165.2,314
3772180,NP_727166.2,346
3772180,NP_727167.2,48
3772180,NP_727168.1,48
38168,NP_001261255.1,355
38168,NP_523883.2,355
39251,NP_476735.1,153
30982,NP_476803.1,345
42896,NP_001036751.1,2189
42896,NP_001247284.1,2253
42896,NP_001262909.1,2203
42896,NP_524480.2,2146
31248,NP_001036259.2,597
31248,NP_001096870.1,772
31248,NP_001162649.1,416
31248,NP_001162650.1,441
31248,NP_001259192.1,1126
31248,NP_001259193.1,1168
31248,NP_001401051.1,791
31248,NP_001401052.1,766
31248,NP_476714.1,575
31248,NP_476715.1,514
31248,NP_476716.2,1067
31248,NP_599105.1,514
31248,NP_726822.1,514
31248,NP_726823.1,514
31248,NP_996334.1,416
31248,NP_996335.1,496
31248,NP_996336.1,575
31248,NP_996337.1,514
31248,NP_996338.1,514
42037,NP_001163632.1,330
42037,NP_001247145.1,330
42037,NP_476693.1,330
42037,NP_732176.1,590
34881,NP_001285948.1,594
34881,NP_476868.1,594
35977,NP_001036535.1,1740
35977,NP_001097241.2,1786
35977,NP_001246227.1,1397
35977,NP_001246228.1,2238
35977,NP_001246229.1,1707
35977,NP_001246230.1,1781
35977,NP_001260826.1,1498
35977,NP_001400998.1,2243
35977,NP_001400999.1,1677
35977,NP_001401000.1,1793
35977,NP_001401001.1,1795
35977,NP_001401002.1,1782
35977,NP_724796.3,1740
35977,NP_995785.2,1740
45307,NP_001261836.1,612
45307,NP_524812.1,581
33473,NP_001259965.1,170
33473,NP_001285567.1,473
33473,NP_001285568.1,472
33473,NP_001356906.1,331
33473,NP_523460.2,474
33473,NP_722838.1,472
33473,NP_722839.1,472
33473,NP_995619.2,472
35097,NP_001097173.1,475
35097,NP_001097174.1,577
35097,NP_001163005.1,577
35097,NP_001286038.1,557
35097,NP_001286039.1,401
35097,NP_724106.1,401
35097,NP_724107.1,508
41957,NP_001287353.1,530
41957,NP_001287354.1,530
41957,NP_732113.3,611
41957,NP_732114.1,530
