"Disease.primaryIdentifier","Disease.name","Disease.genes.primaryIdentifier","Disease.genes.symbol","Disease.genes.homologues.homologue.primaryIdentifier","Disease.genes.homologues.homologue.symbol"
"OMIM:100100","PRUNE BELLY SYNDROME","1131","CHRM3","FBgn0000037",""
"OMIM:100100","PRUNE BELLY SYNDROME","1131","CHRM3","MGI:88398","Chrm3"
"OMIM:100100","PRUNE BELLY SYNDROME","1131","CHRM3","RGD:2343","Chrm3"
"OMIM:100100","PRUNE BELLY SYNDROME","1131","CHRM3","WBGene00001519",""
"OMIM:100100","PRUNE BELLY SYNDROME","1131","CHRM3","ZDB-GENE-090410-4",""
"OMIM:100100","PRUNE BELLY SYNDROME","1131","CHRM3","ZDB-GENE-090410-5",""
"OMIM:100300","ADAMS-OLIVER SYNDROME 1","57514","ARHGAP31","FBgn0032821",""
"OMIM:100300","ADAMS-OLIVER SYNDROME 1","57514","ARHGAP31","MGI:1333857","Arhgap31"
"OMIM:100300","ADAMS-OLIVER SYNDROME 1","57514","ARHGAP31","RGD:1306093","Arhgap31"
"OMIM:100300","ADAMS-OLIVER SYNDROME 1","57514","ARHGAP31","WBGene00009800",""
"OMIM:100300","ADAMS-OLIVER SYNDROME 1","57514","ARHGAP31","ZDB-GENE-100922-256",""
"OMIM:100800","ACHONDROPLASIA","2261","FGFR3","MGI:95524","Fgfr3"
"OMIM:100800","ACHONDROPLASIA","2261","FGFR3","RGD:620714","Fgfr3"
"OMIM:100800","ACHONDROPLASIA","2261","FGFR3","ZDB-GENE-000816-1",""
"OMIM:101000","NEUROFIBROMATOSIS, TYPE II","4771","NF2","FBgn0086384",""
"OMIM:101000","NEUROFIBROMATOSIS, TYPE II","4771","NF2","MGI:97307","Nf2"
"OMIM:101000","NEUROFIBROMATOSIS, TYPE II","4771","NF2","RGD:3169","Nf2"
"OMIM:101000","NEUROFIBROMATOSIS, TYPE II","4771","NF2","WBGene00003593",""
"OMIM:101000","NEUROFIBROMATOSIS, TYPE II","4771","NF2","ZDB-GENE-080722-7",""
"OMIM:101200","APERT SYNDROME","2263","FGFR2","MGI:95523","Fgfr2"
"OMIM:101200","APERT SYNDROME","2263","FGFR2","RGD:2611","Fgfr2"
"OMIM:101200","APERT SYNDROME","2263","FGFR2","ZDB-GENE-030323-1",""
"OMIM:101400","SAETHRE-CHOTZEN SYNDROME","2263","FGFR2","MGI:95523","Fgfr2"
"OMIM:101400","SAETHRE-CHOTZEN SYNDROME","2263","FGFR2","RGD:2611","Fgfr2"
"OMIM:101400","SAETHRE-CHOTZEN SYNDROME","2263","FGFR2","ZDB-GENE-030323-1",""
"OMIM:101400","SAETHRE-CHOTZEN SYNDROME","7291","TWIST1","FBgn0003900",""
"OMIM:101400","SAETHRE-CHOTZEN SYNDROME","7291","TWIST1","WBGene00001953",""
"OMIM:101400","SAETHRE-CHOTZEN SYNDROME","7291","TWIST1","ZDB-GENE-000210-6",""
"OMIM:101400","SAETHRE-CHOTZEN SYNDROME","7291","TWIST1","ZDB-GENE-050417-357",""
"OMIM:101600","PFEIFFER SYNDROME","2260","FGFR1","MGI:95522","Fgfr1"
"OMIM:101600","PFEIFFER SYNDROME","2260","FGFR1","RGD:620713","Fgfr1"
"OMIM:101600","PFEIFFER SYNDROME","2260","FGFR1","ZDB-GENE-060503-14",""
"OMIM:101600","PFEIFFER SYNDROME","2260","FGFR1","ZDB-GENE-980526-255",""
"OMIM:101600","PFEIFFER SYNDROME","2263","FGFR2","MGI:95523","Fgfr2"
"OMIM:101600","PFEIFFER SYNDROME","2263","FGFR2","RGD:2611","Fgfr2"
"OMIM:101600","PFEIFFER SYNDROME","2263","FGFR2","ZDB-GENE-030323-1",""
"OMIM:101800","ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE","5573","PRKAR1A","FBgn0259243",""
