Dsim,E_value,Score,query cover,identity,Dmel
NP_982322.1,0.0,632.0,100,97.067,YP_009047266.1
NP_982323.2,0.0,1010.0,99,99.804,YP_009047267.1
NP_982324.1,3.01e-167,459.0,100,98.246,YP_009047268.1
NP_982325.1,1.42e-31,102.0,100,96.226,YP_009047269.1
NP_982326.1,3.1300000000000004e-156,431.0,100,96.875,YP_009047270.1
NP_982327.1,0.0,520.0,100,97.71,YP_009047271.1
NP_982328.1,7.809999999999999e-76,219.0,100,97.436,YP_009047272.1
NP_982329.1,0.0,1078.0,100,95.986,YP_009047273.1
NP_982330.1,0.0,776.0,100,96.188,YP_009047274.1
NP_982331.1,5.45e-62,182.0,100,97.917,YP_009047275.1
NP_982332.1,5.06e-111,312.0,100,94.253,YP_009047276.1
NP_982333.1,0.0,748.0,100,99.471,YP_009047277.1
NP_982334.1,0.0,605.0,100,98.718,YP_009047278.1
XP_002076091.1,0.0,700.0,100,99.704,NP_477372.1
XP_002076092.2,0.0,1623.0,100,99.107,NP_476661.1
XP_002076105.3,8.17e-172,473.0,100,90.476,NP_001303306.2
XP_002076112.1,0.0,664.0,100,89.415,NP_652641.1
XP_002076116.1,0.0,1309.0,100,97.978,NP_608819.1
XP_002076120.3,0.0,1720.0,100,98.109,NP_608878.1
XP_002076125.1,0.0,607.0,100,97.01,NP_723047.1
XP_002076132.2,0.0,3612.0,100,98.246,NP_609000.2
XP_002076143.2,0.0,507.0,100,99.187,NP_609618.2
XP_002076154.1,0.0,579.0,100,97.173,NP_609845.1
XP_002076160.2,0.0,944.0,100,95.763,NP_001260619.1
XP_002076161.1,1.57e-98,278.0,100,100.0,NP_610024.1
XP_002076189.2,0.0,1262.0,100,95.029,NP_610265.1
XP_002076191.3,0.0,2935.0,100,98.531,NP_001286155.1
XP_002076193.1,0.0,588.0,100,99.392,NP_001286157.1
XP_002076208.2,0.0,826.0,100,96.19,NP_610307.2
XP_002076212.2,0.0,662.0,100,95.415,NP_610319.2
XP_002076214.1,8.73e-123,342.0,100,100.0,NP_001246192.1
XP_002076223.1,0.0,802.0,100,98.223,NP_477052.2
XP_002076237.2,3.2099999999999997e-91,259.0,100,91.304,NP_001097229.1
XP_002076238.1,0.0,890.0,100,99.08,NP_476923.1
XP_002076240.1,8.450000000000001e-72,208.0,100,91.743,NP_610369.1
XP_002076241.1,0.0,795.0,98,96.491,NP_610370.1
XP_002076245.1,1.04e-138,392.0,86,95.968,NP_610372.1
XP_002076246.2,0.0,837.0,100,90.0,NP_001286195.1
XP_002076248.2,0.0,566.0,99,96.207,NP_001286194.1
XP_002076249.1,4.03e-114,320.0,95,92.771,NP_001097230.1
XP_002076252.1,2.14e-173,476.0,100,92.549,NP_610373.2
XP_002076253.2,2.76e-106,299.0,100,89.308,NP_610374.2
XP_002076255.1,0.0,593.0,99,96.382,NP_610375.2
XP_002076257.1,0.0,1055.0,100,96.395,NP_524771.1
XP_002076270.2,0.0,590.0,100,90.361,NP_610425.1
XP_002076278.1,0.0,525.0,100,99.609,NP_610554.1
XP_002076281.2,4.570000000000001e-167,458.0,100,96.889,NP_477207.1
XP_002076283.1,1.1e-158,436.0,100,100.0,NP_001260878.1
XP_002076284.1,0.0,903.0,100,96.529,NP_610631.1
XP_002076286.1,3.1399999999999998e-90,256.0,100,100.0,NP_001260877.1
XP_002076289.1,3.7700000000000005e-160,443.0,100,93.281,"NP_725035.1, NP_523694.2, NP_725034.1"
XP_002076290.1,1.18e-54,162.0,98,95.062,NP_610675.1
XP_002076291.2,1.83e-177,487.0,100,96.032,NP_523695.1
XP_002076293.1,3.21e-137,380.0,100,98.936,NP_610677.1
XP_002076294.1,3.24e-137,379.0,100,98.913,NP_524779.1
XP_002076295.1,0.0,796.0,100,94.203,NP_725040.2
XP_002076296.1,1.49e-78,229.0,100,90.683,NP_001033940.1
XP_002076299.1,8.73e-57,169.0,100,97.778,NP_001286332.1
XP_002076302.1,1.9e-73,212.0,100,99.038,NP_001163124.1
XP_002076307.1,1.82e-105,296.0,100,100.0,NP_725106.1
XP_002076308.1,2.14e-44,135.0,100,100.0,NP_610738.1
XP_002076309.2,0.0,916.0,100,95.8,NP_001286334.1
XP_002076314.1,0.0,941.0,100,93.927,NP_001033941.1
XP_002076315.1,5.19e-61,179.0,100,100.0,NP_523708.2
XP_002076318.2,0.0,1030.0,100,95.568,NP_610744.1
XP_002076324.1,2.19e-76,219.0,100,100.0,NP_610748.1
XP_002076328.1,3.57e-53,159.0,100,90.361,NP_725294.1
XP_002076329.1,1.0500000000000001e-179,493.0,100,93.462,NP_610874.1
XP_002076355.1,4.0499999999999996e-140,387.0,100,98.958,NP_611101.1
XP_002076356.1,4.29e-105,295.0,100,97.902,NP_611102.1
XP_002076361.1,1.63e-113,320.0,100,98.942,NP_611198.1
XP_002076363.2,1.71e-101,290.0,100,81.726,NP_611250.1
XP_002076368.1,8.980000000000001e-72,207.0,100,99.01,NP_001286566.1
XP_002076375.1,3.6799999999999997e-91,259.0,100,96.183,NP_001286619.1
XP_002076379.1,3.15e-144,399.0,100,94.089,NP_611629.1
XP_002076381.1,0.0,702.0,100,97.977,NP_524707.1
XP_002076382.1,0.0,994.0,100,95.391,NP_611646.1
XP_002076393.1,0.0,709.0,100,88.462,NP_611758.2
XP_002076395.1,2.67e-79,227.0,100,98.165,NP_611805.1
XP_002076408.2,1.92e-56,167.0,98,97.531,NP_611882.1
XP_002076431.1,4.7799999999999993e-67,195.0,100,100.0,NP_001260699.1
XP_002076439.1,0.0,1330.0,100,89.675,NP_001286134.1
XP_002076446.1,0.0,778.0,100,94.293,NP_001036426.1
XP_002076482.1,7.659999999999999e-134,373.0,100,96.117,NP_001015387.1
XP_002076488.1,0.0,657.0,100,92.351,NP_612039.1
XP_002076489.2,0.0,610.0,100,98.113,NP_612046.1
XP_002076490.1,1.44e-101,286.0,100,97.857,NP_476829.1
XP_002076492.1,0.0,503.0,100,97.211,NP_001261267.1
XP_002076493.2,0.0,871.0,100,86.465,NP_001027098.1
XP_002076498.3,1.38e-161,445.0,100,100.0,NP_001261271.1
XP_002076499.2,0.0,976.0,100,95.238,NP_001261279.1
XP_002076504.2,0.0,495.0,100,97.984,NP_728833.1
XP_002076506.1,0.0,516.0,100,99.6,NP_573393.1
XP_002076507.3,0.0,988.0,100,98.16,NP_001137883.1
XP_002076508.1,3.75e-80,231.0,100,96.581,NP_001261382.1
XP_002076509.2,0.0,983.0,94,96.907,NP_647835.1
XP_002076516.1,1.5500000000000002e-88,251.0,100,96.063,NP_648075.1
XP_002076519.2,1.15e-146,407.0,100,82.609,NP_729346.1
XP_002076525.1,0.0,1601.0,100,97.472,NP_648413.1
XP_002076529.1,3.9e-43,133.0,100,93.243,NP_476718.1
XP_002076532.1,0.0,1004.0,98,96.964,NP_001303363.1
XP_002076534.1,3.83e-146,403.0,100,96.939,NP_648518.1
XP_002076535.2,0.0,795.0,100,98.956,NP_648581.1
XP_002076539.1,1.65e-80,231.0,100,90.244,NP_001036309.1
XP_002076540.4,0.0,499.0,95,96.429,NP_648664.2
XP_002076544.1,1.89e-107,302.0,94,94.839,NP_001189111.1
XP_002076545.2,0.0,548.0,100,97.398,NP_001034020.1
XP_002076549.1,0.0,909.0,100,95.122,NP_648835.1
XP_002076551.3,0.0,1038.0,100,95.941,NP_730211.1
XP_002076553.1,7.85e-130,360.0,100,98.315,NP_649000.1
XP_002076556.1,0.0,830.0,100,98.072,NP_649028.3
XP_002076559.1,0.0,531.0,99,92.364,NP_649270.1
