"Disease.genes.primaryIdentifier","Disease.genes.symbol","Disease.name","Disease.primaryIdentifier","Disease.genes.organism.name","Disease.dataSets.name"
"3293","HSD17B3","17-BETA HYDROXYSTEROID DEHYDROGENASE III DEFICIENCY","OMIM:264300","Homo sapiens","OMIM diseases"
"3293","HSD17B3","17-BETA HYDROXYSTEROID DEHYDROGENASE III DEFICIENCY","OMIM:264300","Homo sapiens","clinvar"
"3293","HSD17B3","17-BETA HYDROXYSTEROID DEHYDROGENASE III DEFICIENCY","OMIM:264300","Homo sapiens","hpo-annotation"
"133686","NADK2","2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","OMIM:616034","Homo sapiens","OMIM diseases"
"133686","NADK2","2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","OMIM:616034","Homo sapiens","clinvar"
"133686","NADK2","2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","OMIM:616034","Homo sapiens","hpo-annotation"
"36","ACADSB","2-METHYLBUTYRYL-CoA DEHYDROGENASE DEFICIENCY","OMIM:610006","Homo sapiens","OMIM diseases"
"36","ACADSB","2-METHYLBUTYRYL-CoA DEHYDROGENASE DEFICIENCY","OMIM:610006","Homo sapiens","clinvar"
"36","ACADSB","2-METHYLBUTYRYL-CoA DEHYDROGENASE DEFICIENCY","OMIM:610006","Homo sapiens","hpo-annotation"
"3155","HMGCL","3-HYDROXY-3-METHYLGLUTARYL-CoA LYASE DEFICIENCY","OMIM:246450","Homo sapiens","OMIM diseases"
"3155","HMGCL","3-HYDROXY-3-METHYLGLUTARYL-CoA LYASE DEFICIENCY","OMIM:246450","Homo sapiens","clinvar"
"3155","HMGCL","3-HYDROXY-3-METHYLGLUTARYL-CoA LYASE DEFICIENCY","OMIM:246450","Homo sapiens","hpo-annotation"
"3158","HMGCS2","3-HYDROXY-3-METHYLGLUTARYL-CoA SYNTHASE-2 DEFICIENCY","OMIM:605911","Homo sapiens","OMIM diseases"
"3158","HMGCS2","3-HYDROXY-3-METHYLGLUTARYL-CoA SYNTHASE-2 DEFICIENCY","OMIM:605911","Homo sapiens","clinvar"
"3158","HMGCS2","3-HYDROXY-3-METHYLGLUTARYL-CoA SYNTHASE-2 DEFICIENCY","OMIM:605911","Homo sapiens","hpo-annotation"
"3033","HADH","3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY","OMIM:231530","Homo sapiens","OMIM diseases"
"3033","HADH","3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY","OMIM:231530","Homo sapiens","clinvar"
"3033","HADH","3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY","OMIM:231530","Homo sapiens","hpo-annotation"
"26275","HIBCH","3-HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY","OMIM:250620","Homo sapiens","OMIM diseases"
"26275","HIBCH","3-HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY","OMIM:250620","Homo sapiens","clinvar"
"26275","HIBCH","3-HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY","OMIM:250620","Homo sapiens","hpo-annotation"
"56922","MCCC1","3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY","OMIM:210200","Homo sapiens","OMIM diseases"
"56922","MCCC1","3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY","OMIM:210200","Homo sapiens","clinvar"
"56922","MCCC1","3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY","OMIM:210200","Homo sapiens","hpo-annotation"
"64087","MCCC2","3-METHYLCROTONYL-CoA CARBOXYLASE 2 DEFICIENCY","OMIM:210210","Homo sapiens","OMIM diseases"
"64087","MCCC2","3-METHYLCROTONYL-CoA CARBOXYLASE 2 DEFICIENCY","OMIM:210210","Homo sapiens","clinvar"
"64087","MCCC2","3-METHYLCROTONYL-CoA CARBOXYLASE 2 DEFICIENCY","OMIM:210210","Homo sapiens","hpo-annotation"
"84947","SERAC1","3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME","OMIM:614739","Homo sapiens","OMIM diseases"
