NCBI GeneID,Transcript Accession,Transcript_length
31271,NM_057439.2,2352
31293,NM_057511.4,10150
31293,NM_001258581.2,9611
34009,NM_078778.5,2919
33432,NM_057963.5,3723
33432,NM_164485.2,3177
33432,NM_164486.2,4230
33432,NM_164488.2,3216
36240,NM_165841.2,2792
36240,NM_078976.4,2465
31251,NM_080317.2,4527
31251,NM_001272265.1,4441
3771877,NM_001032098.2,2080
3771877,NM_001032096.2,1231
3771877,NM_001032095.2,1057
3771877,NM_001032097.2,2024
3771877,NM_001032099.2,1001
31151,NM_057317.4,3127
31151,NM_057318.4,3120
31151,NM_166912.2,3123
31151,NM_134273.2,3220
31151,NM_206605.2,3116
31151,NM_001272220.1,3211
42737,NM_001038976.1,2370
42034,NM_206497.3,4180
42034,NM_169730.3,4231
42034,NM_080504.4,4282
42034,NM_080500.4,3628
42034,NM_169729.3,3117
42034,NM_169728.3,2784
36039,NM_078946.4,1406
42313,NM_057916.4,5278
42313,NM_001260264.2,4581
42313,NM_169853.3,3546
37455,NM_057410.4,5698
37455,NM_057411.4,6124
40830,NM_057477.5,1479
40830,NM_169157.3,2499
40830,NM_176410.3,2514
40830,NM_176411.3,2521
40830,NM_169159.4,2536
31000,NM_001258518.3,10506
31000,NM_001014713.4,2602
31000,NM_001144670.2,2248
31000,NM_080294.5,2505
45928,NM_206742.1,3190
45928,NM_206745.3,3990
45928,NM_001272659.2,3712
45928,NM_001298377.1,3667
45928,NM_001169295.1,3380
45928,NM_167470.3,3300
45928,NM_206743.2,3191
45928,NM_001272660.2,4768
45928,NM_001042814.2,4321
45928,NM_001042813.2,4309
45928,NM_001169297.2,4198
45928,NM_167471.5,4180
45928,NM_206744.3,3991
45928,NM_001169296.1,3096
45928,NM_080114.4,3878
37386,NM_057374.3,6400
32083,NM_001103486.3,7249
32083,NM_206683.4,5296
32083,NM_206681.4,5119
32083,NM_167280.2,2554
32083,NM_001272520.1,2524
32083,NM_206680.2,2114
32083,NM_206679.2,2102
32083,NM_001169249.3,2363
32083,NM_167281.2,2554
32083,NM_001169247.1,3196
32083,NM_001103485.3,6554
32083,NM_001272518.1,5380
32083,NM_001258694.2,5341
32083,NM_206682.4,4893
32083,NM_078565.5,4848
32083,NM_001272517.1,4848
32083,NM_206684.4,4709
32083,NM_001272519.1,6815
32083,NM_167282.4,4865
32083,NM_001169248.2,4841
32083,NM_001258693.1,4841
32780,NM_078669.5,7860
32780,NM_001272737.1,3836
32780,NM_167592.4,2442
32780,NM_001414058.1,2370
32780,NM_001272736.2,2843
32780,NM_167594.4,12181
32780,NM_001201739.2,6786
32780,NM_206775.5,4135
32780,NM_001258798.2,4138
32780,NM_001414059.1,2243
32780,NM_167595.4,2781
32780,NM_001316640.1,2781
32780,NM_167596.5,1814
32780,NM_001272735.3,3578
32780,NM_001169317.1,1286
32780,NM_001258797.1,2221
32780,NM_206774.2,1774
40015,NM_079414.3,901
41032,NM_169233.2,3338
41032,NM_169234.2,3181
41605,NM_079613.3,4337
30980,NM_057444.3,2038
40009,NM_079412.4,4018
40009,NM_001275081.1,2190
31364,NM_001272308.2,4893
31364,NM_001272306.1,3352
31364,NM_080327.3,3439
31364,NM_001297925.1,3475
31364,NM_001297926.1,3260
31364,NM_167004.2,2894
31364,NM_167005.2,4225
40835,NM_206451.1,4640
40835,NM_206450.1,4652
40835,NM_206449.1,4679
40835,NM_206453.1,4691
40835,NM_001382007.1,3978
40835,NM_206444.1,4851
40835,NM_206447.1,4863
40835,NM_206452.1,4890
40835,NM_206448.1,4902
40835,NM_206446.1,3279
40835,NM_206445.1,3490
40835,NM_206454.1,4111
44540,NM_001272381.2,11755
44540,NM_080025.2,10438
44540,NM_001258636.2,10732
38012,NM_001274252.1,4411
38012,NM_079143.3,2536
44801,NM_164900.3,1535
44801,NM_001169459.1,1797
44801,NM_001169461.3,1655
41140,NM_057351.5,1958
33571,NM_001144308.3,5020
33571,NM_164540.4,5404
33571,NM_001038783.3,5641
33571,NM_001014463.4,5214
33571,NM_001347756.1,5073
33571,NM_164542.5,5073
33571,NM_001414078.1,5931
33571,NM_164541.6,5077
33571,NM_001144309.4,3525
33571,NM_001201757.2,3136
39753,NM_001274989.1,2233
39753,NM_168644.2,1870
39753,NM_079377.3,2018
39753,NM_001274988.1,2304
39753,NM_168645.2,1820
39753,NM_001274987.1,1754
40834,NM_058150.3,1774
41363,NM_001260116.2,23486
41363,NM_001260117.2,22289
41363,NM_001260115.2,22169
41363,NM_169386.3,7890
41363,NM_079593.6,5613
41363,NM_176459.4,5526
47763,NM_206498.2,3701
47763,NM_001316545.1,3715
47763,NM_001316543.1,4870
47763,NM_001316542.1,8184
47763,NM_169735.2,3251
47763,NM_142320.2,3078
47763,NM_169736.2,3260
47763,NM_001275719.2,3260
47763,NM_001316544.1,3260
47763,NM_080157.3,4415
3354888,NM_001015122.3,1614
3354888,NM_001110878.4,6472
3354888,NM_001300706.2,2072
3354888,NM_001015121.3,2347
3354888,NM_001015123.3,1795
3354888,NM_001110879.2,1573
